,learning times,layer,node,learning rate,gene number,tr-fold-1,tr-fold-2,tr-fold-3,tr-fold-4,tr-fold-5,tr-mean,te-fold-1,te-fold-2,te-fold-3,te-fold-4,te-fold-5,test-mean
11,1000,3,1500 1500 1500,0.005,30,0.978,0.978,0.983,0.984,0.982,0.981,0.961,0.962,0.965,0.964,0.959,0.962
8,1000,3,500 250 500,0.005,30,0.982,0.975,0.976,0.972,0.984,0.978,0.957,0.961,0.961,0.961,0.966,0.961
19,1000,4,1000 2000 1000 500,0.005,30,0.977,0.972,0.977,0.971,0.981,0.976,0.956,0.961,0.959,0.961,0.964,0.96
5,1000,3,500 500 500,0.005,30,0.974,0.971,0.977,0.978,0.978,0.976,0.956,0.959,0.967,0.968,0.949,0.96
16,1000,4,2000 2000 1000 500,0.005,30,0.973,0.972,0.977,0.98,0.982,0.977,0.959,0.949,0.968,0.959,0.962,0.959
2,1000,3,1000 500 500,0.005,30,0.974,0.972,0.983,0.985,0.979,0.979,0.957,0.953,0.962,0.96,0.959,0.958
10,1000,3,1500 1000 500,0.005,30,0.979,0.979,0.97,0.982,0.971,0.976,0.956,0.955,0.959,0.961,0.96,0.958
29,1000,4,500 1000 2000 500,0.005,30,0.975,0.974,0.977,0.974,0.972,0.975,0.959,0.951,0.96,0.962,0.957,0.958
4,1000,3,500 250 50,0.005,30,0.976,0.972,0.978,0.974,0.977,0.975,0.957,0.958,0.961,0.962,0.95,0.957
3,1000,3,1000 1000 500,0.005,30,0.974,0.978,0.97,0.975,0.972,0.974,0.952,0.959,0.961,0.957,0.954,0.957
18,1000,4,1000 1000 1000 1000,0.005,30,0.972,0.979,0.974,0.978,0.973,0.975,0.952,0.961,0.954,0.962,0.953,0.956
1,1000,3,1000 1000 1000,0.005,30,0.979,0.979,0.971,0.976,0.97,0.975,0.957,0.959,0.956,0.959,0.935,0.953
7,1000,3,500 1000 500,0.005,30,0.981,0.971,0.974,0.974,0.972,0.974,0.93,0.962,0.958,0.964,0.951,0.953
25,1000,4,1500 2000 1500 1500,0.005,30,0.974,0.979,0.984,0.975,0.976,0.977,0.947,0.955,0.958,0.936,0.96,0.951
21,1000,4,1500 2000 500 50,0.005,30,0.978,0.793,0.82,0.971,0.97,0.907,0.955,0.928,0.93,0.937,0.955,0.941
14,1000,4,2000 1000 500 50,0.005,30,0.977,0.979,0.973,0.977,0.541,0.889,0.951,0.966,0.959,0.962,0.542,0.876
17,1000,4,2000 1000 500 500,0.005,30,0.99,0.971,0.975,0.974,0.541,0.89,0.963,0.955,0.958,0.959,0.542,0.875
6,1000,3,500 1000 50,0.005,30,0.973,0.971,0.541,0.957,0.971,0.883,0.957,0.949,0.542,0.939,0.953,0.868
13,1000,4,2000 2000 500 50,0.005,30,0.954,0.542,0.831,0.97,0.837,0.827,0.944,0.536,0.943,0.959,0.885,0.853
27,1000,4,500 1000 500 50,0.005,30,0.839,0.75,0.97,0.541,0.971,0.814,0.843,0.804,0.96,0.551,0.956,0.823
15,1000,4,2000 1000 1000 500,0.005,30,0.976,0.981,0.98,0.539,0.541,0.803,0.954,0.96,0.962,0.55,0.542,0.794
24,1000,4,1500 500 500 50,0.005,30,0.542,0.973,0.976,0.539,0.972,0.8,0.535,0.957,0.96,0.55,0.964,0.793
0,1000,3,1000 500 50,0.005,30,0.542,0.976,0.541,0.971,0.974,0.801,0.535,0.962,0.542,0.958,0.953,0.79
20,1000,4,1000 2000 500 50,0.005,30,0.542,0.974,0.541,0.539,0.977,0.714,0.535,0.958,0.542,0.55,0.961,0.709
9,1000,3,500 500 50,0.005,30,0.542,0.542,0.972,0.971,0.541,0.714,0.535,0.536,0.956,0.959,0.542,0.706
23,1000,4,1500 1000 500 50,0.005,30,0.542,0.542,0.541,0.976,0.972,0.715,0.535,0.536,0.542,0.956,0.954,0.705
12,1000,3,1500 1000 50,0.005,30,0.542,0.943,0.541,0.539,0.971,0.707,0.535,0.931,0.542,0.55,0.948,0.701
22,1000,4,1500 1500 500 50,0.005,30,0.542,0.542,0.541,0.539,0.761,0.585,0.535,0.536,0.542,0.55,0.886,0.61
26,1000,4,1500 2000 1500 50,0.005,30,0.542,0.542,0.541,0.539,0.541,0.541,0.535,0.536,0.542,0.55,0.542,0.541
28,1000,4,500 2000 1500 50,0.005,30,0.542,0.542,0.541,0.539,0.541,0.541,0.535,0.536,0.542,0.55,0.542,0.541
