,learning times,layer,node,learning rate,gene number,tr-fold-1,tr-fold-2,tr-fold-3,tr-fold-4,tr-fold-5,tr-mean,te-fold-1,te-fold-2,te-fold-3,te-fold-4,te-fold-5,tr-mean
0,1000,3,500 250 50,0.005,30,0.969,0.959,0.982,0.965,0.982,0.9714,0.942,0.941,0.963,0.951,0.945,0.9484
1,1000,3,500 500 50,0.005,30,0.98,0.962,0.952,0.967,0.981,0.9684,0.948,0.942,0.942,0.95,0.942,0.9448
2,1000,3,500 250 500,0.005,30,0.963,0.981,0.945,0.967,0.981,0.9674,0.933,0.946,0.947,0.953,0.942,0.9442
3,1000,3,1000 500 500,0.005,30,0.971,0.976,0.974,0.981,0.955,0.9714,0.929,0.944,0.939,0.961,0.933,0.9412
4,1000,3,500 500 500,0.005,30,0.983,0.981,0.949,0.981,0.961,0.971,0.938,0.942,0.946,0.94,0.938,0.9408
5,1000,3,1500 1000 500,0.005,30,0.949,0.96,0.98,0.971,0.98,0.968,0.928,0.938,0.959,0.935,0.935,0.939
6,1000,3,1000 1000 500,0.005,30,0.972,0.969,0.965,0.97,0.964,0.968,0.937,0.933,0.944,0.942,0.92,0.9352
7,1000,3,1000 1000 1000,0.005,30,0.953,0.97,0.974,0.929,0.96,0.9572,0.92,0.943,0.948,0.929,0.933,0.9346
8,1000,3,1500 1500 1500,0.005,30,0.97,0.971,0.973,0.981,0.95,0.969,0.929,0.942,0.929,0.953,0.901,0.9308
9,1000,3,500 1000 50,0.005,30,0.973,0.901,0.942,0.981,0.942,0.9478,0.93,0.915,0.924,0.947,0.937,0.9306
10,1000,3,500 1000 500,0.005,30,0.98,0.956,0.981,0.956,0.952,0.965,0.937,0.923,0.938,0.914,0.928,0.928
11,1000,4,2000 2000 1000 500,0.005,30,0.932,0.95,0.935,0.947,0.946,0.942,0.921,0.925,0.932,0.925,0.924,0.9254
12,1000,4,1000 2000 1000 500,0.005,30,0.943,0.937,0.97,0.952,0.955,0.9514,0.918,0.919,0.928,0.919,0.901,0.917
13,1000,4,500 1000 500 50,0.005,30,0.946,0.926,0.932,0.934,0.945,0.9366,0.909,0.911,0.906,0.916,0.939,0.9162
14,1000,4,1500 1000 500 50,0.005,30,0.939,0.898,0.962,0.955,0.95,0.9408,0.89,0.903,0.903,0.942,0.922,0.912
15,1000,4,2000 1000 500 500,0.005,30,0.908,0.909,0.945,0.887,0.921,0.914,0.903,0.919,0.901,0.913,0.882,0.9036
16,1000,4,500 1000 2000 500,0.005,30,0.825,0.945,0.941,0.929,0.932,0.9144,0.886,0.91,0.902,0.929,0.848,0.895
17,1000,4,1000 1000 1000 1000,0.005,30,0.927,0.924,0.919,0.925,0.947,0.9284,0.914,0.878,0.877,0.878,0.914,0.8922
18,1000,4,1500 2000 1500 1500,0.005,30,0.934,0.881,0.925,0.875,0.938,0.9106,0.914,0.881,0.883,0.814,0.914,0.8812
19,1000,4,1000 2000 500 50,0.005,30,0.919,0.917,0.937,0.923,0.8,0.8992,0.891,0.915,0.909,0.902,0.751,0.8736
20,1000,3,1000 500 50,0.005,30,0.981,0.97,0.536,0.963,0.963,0.8826,0.939,0.948,0.544,0.947,0.939,0.8634
21,1000,4,1500 500 500 50,0.005,30,0.95,0.932,0.919,0.538,0.939,0.8556,0.919,0.929,0.928,0.535,0.923,0.8468
22,1000,4,2000 1000 1000 500,0.005,30,0.918,0.538,0.948,0.931,0.936,0.8542,0.909,0.535,0.923,0.924,0.919,0.842
23,1000,4,2000 1000 500 50,0.005,30,0.539,0.946,0.957,0.938,0.928,0.8616,0.53,0.929,0.927,0.897,0.919,0.8404
24,1000,4,1500 2000 500 50,0.005,30,0.539,0.921,0.896,0.929,0.944,0.8458,0.53,0.93,0.92,0.918,0.897,0.839
25,1000,4,2000 2000 500 50,0.005,30,0.898,0.94,0.93,0.938,0.536,0.8484,0.877,0.927,0.91,0.926,0.544,0.8368
26,1000,3,1500 1000 50,0.005,30,0.945,0.912,0.98,0.541,0.536,0.7828,0.929,0.913,0.946,0.538,0.544,0.774
27,1000,4,1500 1500 500 50,0.005,30,0.922,0.941,0.536,0.538,0.929,0.7732,0.876,0.886,0.544,0.535,0.933,0.7548
28,1000,4,500 2000 1500 50,0.005,30,0.539,0.957,0.536,0.538,0.961,0.7062,0.53,0.919,0.544,0.535,0.933,0.6922
29,1000,4,1500 2000 1500 50,0.005,30,0.539,0.538,0.536,0.933,0.536,0.6164,0.53,0.535,0.544,0.896,0.544,0.6098
