,learning times,layer,node,learning rate,gene number,tr-fold-1,tr-fold-2,tr-fold-3,tr-fold-4,tr-fold-5,te-fold-1,te-fold-2,te-fold-3,te-fold-4,te-fold-5
0,1000,3,1000 500 50,0.005,30,0.965 ,0.969 ,0.967 ,0.978 ,0.983 ,0.942 ,0.947 ,0.947 ,0.945 ,0.938 
1,1000,3,1000 1000 1000,0.005,30,0.964 ,0.970 ,0.963 ,0.963 ,0.967 ,0.938 ,0.952 ,0.908 ,0.936 ,0.943 
2,1000,3,1000 500 500,0.005,30,0.977 ,0.948 ,0.962 ,0.941 ,0.977 ,0.950 ,0.941 ,0.946 ,0.917 ,0.933 
3,1000,3,1000 1000 500,0.005,30,0.964 ,0.976 ,0.956 ,0.956 ,0.974 ,0.947 ,0.950 ,0.937 ,0.924 ,0.940 
4,1000,3,500 250 50,0.005,30,0.967 ,0.972 ,0.972 ,0.974 ,0.967 ,0.948 ,0.953 ,0.956 ,0.947 ,0.946 
5,1000,3,500 500 500,0.005,30,0.967 ,0.973 ,0.963 ,0.955 ,0.966 ,0.942 ,0.933 ,0.944 ,0.930 ,0.945 
6,1000,3,500 1000 50,0.005,30,0.536 ,0.537 ,0.975 ,0.967 ,0.959 ,0.543 ,0.538 ,0.942 ,0.936 ,0.930 
7,1000,3,500 1000 500,0.005,30,0.972 ,0.964 ,0.958 ,0.926 ,0.959 ,0.945 ,0.935 ,0.938 ,0.892 ,0.917 
8,1000,3,500 250 500,0.005,30,0.978 ,0.969 ,0.954 ,0.975 ,0.971 ,0.954 ,0.938 ,0.948 ,0.934 ,0.948 
9,1000,3,500 500 50,0.005,30,0.972 ,0.955 ,0.973 ,0.975 ,0.974 ,0.945 ,0.938 ,0.947 ,0.943 ,0.946 
10,1000,3,1500 1000 500,0.005,30,0.956 ,0.947 ,0.926 ,0.965 ,0.971 ,0.936 ,0.928 ,0.927 ,0.942 ,0.948 
11,1000,3,1500 1500 1500,0.005,30,0.959 ,0.960 ,0.957 ,0.950 ,0.973 ,0.906 ,0.938 ,0.931 ,0.928 ,0.920 
12,1000,3,1500 1000 50,0.005,30,0.536 ,0.537 ,0.933 ,0.539 ,0.947 ,0.543 ,0.538 ,0.930 ,0.529 ,0.935 
13,1000,4,2000 2000 500 50,0.005,30,0.537 ,0.907 ,0.915 ,0.942 ,0.537 ,0.544 ,0.840 ,0.915 ,0.863 ,0.539 
14,1000,4,2000 1000 500 50,0.005,30,0.929 ,0.537 ,0.940 ,0.949 ,0.886 ,0.915 ,0.538 ,0.908 ,0.919 ,0.898 
15,1000,4,2000 1000 1000 500,0.005,30,0.933 ,0.955 ,0.942 ,0.935 ,0.951 ,0.918 ,0.935 ,0.930 ,0.908 ,0.928 
16,1000,4,2000 2000 1000 500,0.005,30,0.536 ,0.918 ,0.932 ,0.539 ,0.932 ,0.543 ,0.888 ,0.911 ,0.529 ,0.912 
17,1000,4,2000 1000 500 500,0.005,30,0.536 ,0.940 ,0.908 ,0.898 ,0.939 ,0.543 ,0.930 ,0.836 ,0.903 ,0.922 
18,1000,4,1000 1000 1000 1000,0.005,30,0.943 ,0.931 ,0.913 ,0.917 ,0.956 ,0.933 ,0.928 ,0.879 ,0.883 ,0.928 
19,1000,4,1000 2000 1000 500,0.005,30,0.954 ,0.936 ,0.894 ,0.922 ,0.916 ,0.933 ,0.874 ,0.891 ,0.851 ,0.892 
20,1000,4,1000 2000 500 50,0.005,30,0.919 ,0.942 ,0.896 ,0.915 ,0.537 ,0.917 ,0.910 ,0.869 ,0.902 ,0.539 
21,1000,4,1500 2000 500 50,0.005,30,0.888 ,0.944 ,0.933 ,0.921 ,0.952 ,0.882 ,0.914 ,0.928 ,0.920 ,0.937 
22,1000,4,1500 1500 500 50,0.005,30,0.536 ,0.906 ,0.537 ,0.933 ,0.901 ,0.543 ,0.929 ,0.539 ,0.922 ,0.902 
23,1000,4,1500 1000 500 50,0.005,30,0.939 ,0.915 ,0.920 ,0.937 ,0.941 ,0.933 ,0.891 ,0.864 ,0.933 ,0.919 
24,1000,4,1500 500 500 50,0.005,30,0.929 ,0.916 ,0.945 ,0.938 ,0.537 ,0.923 ,0.905 ,0.897 ,0.907 ,0.539 
25,1000,4,1500 2000 1500 1500,0.005,30,0.925 ,0.537 ,0.929 ,0.539 ,0.916 ,0.919 ,0.538 ,0.939 ,0.529 ,0.914 
26,1000,4,1500 2000 1500 50,0.005,30,0.536 ,0.537 ,0.942 ,0.539 ,0.537 ,0.543 ,0.538 ,0.885 ,0.529 ,0.539 
27,1000,4,500 1000 500 50,0.005,30,0.943 ,0.929 ,0.826 ,0.948 ,0.950 ,0.925 ,0.927 ,0.852 ,0.905 ,0.892 
28,1000,4,500 2000 1500 50,0.005,30,0.536 ,0.898 ,0.537 ,0.539 ,0.537 ,0.543 ,0.881 ,0.539 ,0.529 ,0.539 
29,1000,4,500 1000 2000 500,0.005,30,0.946 ,0.925 ,0.940 ,0.948 ,0.919 ,0.910 ,0.924 ,0.879 ,0.888 ,0.897 
