,learning times,layer,node,learning rate,gene number,train_acc,test_acc
0,6000,3,100 50 10,0.0001,30,0.9705184102058411,0.9524999856948853
1,6000,3,100 100 50,0.0001,30,0.97151780128479,0.9585000276565552
2,6000,3,100 100 100,0.0001,30,0.970018744468689,0.9514999985694885
3,6000,3,200 100 10,0.0001,30,0.9707682728767395,0.9549999833106995
4,6000,3,200 200 50,0.0001,30,0.9703934788703918,0.9555000066757202
5,20000,4,100 100 50 10,0.0001,30,0.972517192363739,0.9549999833106995
6,20000,4,100 100 10 50,0.0001,30,0.9716427326202393,0.9524999856948853
7,20000,4,100 100 100 100,0.0001,30,0.9712679386138916,0.9514999985694885
8,20000,4,200 100 50 10,0.0001,30,0.9701436758041382,0.9549999833106995
9,20000,4,200 200 50 10,0.0001,30,0.9707682728767395,0.949999988079071
