,learning times,layer,node,learning rate,gene number,train_acc,test_acc
0,6000,3,100 50 10,0.0001,1,0.9410516023635864,0.8059999942779541
1,6000,3,100 100 50,0.0001,1,0.9721493721008301,0.7935000061988831
2,6000,3,100 100 100,0.0001,1,0.9706506729125977,0.7950000166893005
3,6000,3,200 100 10,0.0001,1,0.9630323648452759,0.7960000038146973
4,6000,3,200 200 50,0.0001,1,0.9813913106918335,0.8080000281333923
5,6000,4,100 100 50 10,0.0001,1,0.9450480937957764,0.8065000176429749
6,6000,4,100 100 10 50,0.0001,1,0.9437991976737976,0.8009999990463257
7,6000,4,100 100 100 100,0.0001,1,0.9746471643447876,0.7940000295639038
8,6000,4,200 100 50 10,0.0001,1,0.9772698879241943,0.8059999942779541
9,6000,4,200 200 50 10,0.0001,1,0.9798926115036011,0.7990000247955322
