,result,prediction,prob0,prob1
GSM253210,0,0,3.107524871826172,-7.736325740814209
GSM253216,0,0,-6.613537788391113,-18.795440673828125
GSM256745,0,0,28.762182235717773,-11.234813690185547
GSM256746,0,0,-31.812664031982422,-63.78160095214844
GSM256747,0,0,-28.055341720581055,-53.57746887207031
GSM256749,0,0,0.09112508594989777,-37.761234283447266
GSM257190,0,0,-6.698123455047607,-14.369729042053223
GSM257248,1,1,0.20605869591236115,8.388225555419922
GSM257525,0,0,-8.509882926940918,-15.792028427124023
GSM257528,0,0,-9.02702808380127,-20.161439895629883
GSM257661,0,0,-1.7581998109817505,-2.935011386871338
GSM257472,1,1,-2.2001852989196777,6.195480823516846
GSM259831,1,1,-3.321221351623535,4.296489238739014
GSM259832,1,1,-7.266528606414795,-0.10116741061210632
GSM259833,1,1,-4.076171875,4.875769138336182
GSM259834,1,1,-0.27264684438705444,9.548259735107422
GSM259835,1,1,-5.475046157836914,-1.5928138494491577
GSM259836,1,1,2.011688709259033,5.492749214172363
GSM260250,1,1,-6.6770195960998535,4.247478485107422
GSM260251,1,1,-6.914465427398682,-2.9408276081085205
GSM260252,1,1,-6.514064311981201,-3.340832471847534
GSM260253,1,1,-7.65825891494751,5.357561111450195
GSM260254,1,1,-6.0843000411987305,6.319643020629883
GSM260255,1,1,0.23667772114276886,10.433980941772461
GSM260256,1,1,-1.4411557912826538,10.105058670043945
GSM260257,1,1,0.518940269947052,5.784363746643066
GSM260249,1,1,-0.9028500914573669,6.61840295791626
GSM260534,1,1,-18.890302658081055,4.836941242218018
GSM260535,1,1,-2.276498317718506,24.51521110534668
GSM260536,1,1,-8.606974601745605,26.688472747802734
GSM263933,0,0,30.308252334594727,5.356779098510742
GSM263934,0,0,-19.69478416442871,-34.82096481323242
GSM263935,0,0,8.558259010314941,-8.171998023986816
GSM263936,0,0,-3.9184927940368652,-28.979896545410156
GSM265494,0,0,-4.775594234466553,-7.283254623413086
GSM265495,0,0,-13.302838325500488,-23.8765811920166
GSM265496,0,0,-17.6103572845459,-31.88005256652832
GSM265497,0,0,-5.514781951904297,-11.836469650268555
GSM265498,0,0,-4.693874835968018,-7.676966190338135
GSM265499,0,0,2.2485148906707764,-0.4374947249889374
GSM264755,0,0,-1.878024935722351,-26.73784637451172
GSM264756,0,0,-43.565338134765625,-73.0808334350586
GSM264758,0,0,-48.81008529663086,-99.1336669921875
GSM265052,0,0,-3.251016139984131,-17.326534271240234
GSM265053,0,0,-6.345892429351807,-9.49018669128418
GSM265054,0,0,-18.933683395385742,-29.089792251586914
GSM265055,0,0,17.955293655395508,4.421021461486816
GSM265056,0,0,-16.185335159301758,-21.979721069335938
GSM265057,0,0,25.366287231445312,6.264317512512207
GSM265059,0,0,-1.2974380254745483,-11.573531150817871
GSM265505,0,1,-4.431399822235107,3.535217523574829
GSM265507,0,0,-6.36581563949585,-21.77616310119629
GSM265509,0,1,-3.3684563636779785,5.1250834465026855
GSM265818,1,1,-5.668335914611816,8.394250869750977
GSM265819,1,1,-0.7712962031364441,3.5903985500335693
GSM265820,1,1,-8.76587200164795,16.561180114746094
GSM266839,0,0,3.8966965675354004,-4.506548881530762
GSM266841,0,0,0.39855796098709106,-4.682504177093506
GSM266843,0,0,-1.4322527647018433,-9.587223052978516
GSM266845,0,0,-3.484001636505127,-8.597545623779297
GSM266847,0,0,-3.8723111152648926,-7.426163673400879
GSM266852,0,0,5.06848669052124,1.893428087234497
GSM266853,0,0,-5.298769474029541,-10.257329940795898
GSM297599,0,0,6.761245250701904,-0.8740990161895752
GSM297601,0,0,-15.95312213897705,-26.3907413482666
GSM297603,0,0,3.646824836730957,-2.0121729373931885
GSM266912,1,1,-8.355681419372559,7.487733840942383
GSM266913,1,1,-8.614053726196289,-0.36377617716789246
GSM266914,1,1,-3.4961118698120117,11.783793449401855
GSM266915,1,1,-2.3317229747772217,2.1748921871185303
GSM266917,1,1,-5.021326065063477,2.4333693981170654
GSM266918,1,1,3.148660182952881,12.542537689208984
GSM266919,1,1,-2.524751663208008,2.684468984603882
GSM266920,1,1,-10.470807075500488,-2.867750883102417
GSM266921,1,1,-3.2063770294189453,0.6872944831848145
GSM266922,1,1,-10.503752708435059,1.3211150169372559
GSM267005,1,1,3.0074853897094727,18.062129974365234
GSM267006,1,1,-2.4704811573028564,4.0604400634765625
GSM267007,1,1,-3.448680877685547,1.978832721710205
GSM267008,1,1,-0.2532307505607605,5.153071880340576
GSM267009,1,1,2.5040860176086426,8.977540969848633
GSM267011,1,1,-3.9618301391601562,3.3643910884857178
GSM267012,1,1,-6.414303779602051,2.049823760986328
GSM267013,1,1,-6.617318153381348,10.112722396850586
GSM267077,0,0,-8.840835571289062,-15.855097770690918
GSM267079,0,0,-1.2832244634628296,-7.646212577819824
GSM267080,0,0,-0.23961155116558075,-5.103621959686279
GSM267081,0,0,-11.406180381774902,-17.3615779876709
GSM267082,0,0,-4.566882610321045,-10.885588645935059
GSM267083,0,0,-3.2356131076812744,-8.24989128112793
GSM267084,0,0,-3.3552260398864746,-6.053684234619141
GSM269527,1,1,-1.2582595348358154,7.66560697555542
GSM269528,1,1,-2.317904472351074,10.129802703857422
GSM269531,1,1,-6.417949199676514,-0.1809098720550537
GSM269532,1,1,-21.90771484375,0.4413124620914459
GSM269936,0,0,3.351677417755127,-2.3592309951782227
GSM269937,0,0,-3.0171895027160645,-10.406003952026367
GSM269938,0,0,-9.285263061523438,-19.076061248779297
GSM269809,0,0,-9.372912406921387,-37.4857063293457
GSM269810,0,0,7.115045547485352,-15.985340118408203
GSM269811,0,0,9.915051460266113,-5.760982990264893
GSM269834,0,0,-14.450968742370605,-25.654577255249023
GSM269932,0,0,-11.767992973327637,-44.15997314453125
GSM269934,0,0,-9.292691230773926,-19.76157569885254
GSM270524,1,1,-7.639614105224609,5.04897403717041
GSM270525,1,1,-0.5988399386405945,7.956577301025391
GSM270526,1,1,-10.7289400100708,-3.775869607925415
GSM270527,1,1,0.25134390592575073,11.823265075683594
GSM270528,1,1,-2.5482192039489746,6.212689399719238
GSM270529,1,1,4.489957332611084,14.503417015075684
GSM270808,0,0,-1.5431312322616577,-2.812387704849243
GSM270810,0,0,-5.092901229858398,-8.98689079284668
GSM270781,1,1,-2.4324116706848145,4.892857551574707
GSM270782,1,1,-3.9958858489990234,-1.7857095003128052
GSM270783,1,1,-2.2799580097198486,1.6215434074401855
GSM270784,1,1,-3.82666015625,7.830899238586426
GSM270785,1,1,-3.0447866916656494,2.1273133754730225
GSM270834,0,0,0.01003238558769226,-0.1427566409111023
GSM270835,0,0,1.6840027570724487,-0.39514705538749695
GSM270837,0,0,-2.131042718887329,-9.051528930664062
GSM270838,0,1,0.37864041328430176,0.41187986731529236
GSM270839,0,0,2.870250701904297,0.5807791948318481
GSM270840,0,0,0.6445172429084778,-0.630567193031311
GSM270841,0,0,-0.15109185874462128,-0.31004834175109863
GSM270842,0,1,-1.2902401685714722,-0.7119088172912598
GSM270843,0,0,0.8164624571800232,0.02163180708885193
GSM270844,0,0,0.09379854798316956,-0.9569401741027832
GSM270815,1,0,1.8441466093063354,0.3087787330150604
GSM270816,1,0,0.8795708417892456,0.4021725356578827
GSM270818,1,0,-0.06347791850566864,-0.18906232714653015
GSM270819,1,1,-2.058135509490967,-0.9440654516220093
GSM270820,1,0,0.4408479928970337,0.14946198463439941
GSM270821,1,1,0.3158828616142273,2.369373321533203
GSM270822,1,0,0.23625309765338898,0.15037980675697327
GSM270823,1,0,-0.2560964524745941,-0.7237730026245117
GSM270824,1,1,-0.9761119484901428,-0.551560640335083
GSM270826,1,0,0.7005872130393982,0.6204079389572144
GSM270827,1,1,-2.6706016063690186,-1.3616865873336792
GSM270828,1,0,-0.3570936322212219,-0.4189452826976776
GSM270829,1,0,-1.107899785041809,-2.138158082962036
GSM270830,1,1,-2.0120689868927,0.07568186521530151
GSM270832,1,0,0.19862721860408783,-0.18776282668113708
GSM270833,1,0,0.788937509059906,0.45255741477012634
GSM271334,1,1,1.0093414783477783,1.0607589483261108
GSM271335,1,1,-0.4389309883117676,2.564775228500366
GSM271337,1,0,0.007449395954608917,-0.2511191964149475
GSM271338,1,1,-0.5074874758720398,-0.23458757996559143
GSM271339,1,1,-1.342572569847107,-0.24318823218345642
GSM271341,1,0,0.22702659666538239,0.005936264991760254
GSM271847,0,0,7.882149696350098,3.25628924369812
GSM271848,0,0,0.9540219902992249,-11.849681854248047
GSM271866,0,0,24.46678924560547,2.636096477508545
GSM271867,0,0,1.7700191736221313,-10.364523887634277
GSM271868,0,0,17.28453254699707,7.49220085144043
GSM272419,0,0,0.5659144520759583,0.17951005697250366
GSM272770,0,0,-10.664347648620605,-16.677648544311523
GSM272772,0,0,-6.39582633972168,-12.206036567687988
GSM272754,1,1,-2.328761100769043,2.9963841438293457
GSM272755,1,1,0.020353391766548157,20.49542236328125
GSM272756,1,1,-0.4328794479370117,5.844861030578613
GSM272758,1,1,-1.2809666395187378,6.390992164611816
GSM272759,1,1,-5.302093982696533,6.487980842590332
GSM272760,1,1,-1.9792059659957886,13.11241340637207
GSM272761,1,1,-4.102151870727539,9.956110000610352
GSM272762,1,1,-5.95391321182251,9.403264999389648
GSM272763,1,1,-4.498446941375732,3.7288413047790527
GSM272764,1,1,-3.9509313106536865,0.33883002400398254
GSM272765,1,1,1.2186189889907837,9.858967781066895
GSM272766,1,1,-8.780618667602539,2.441815137863159
GSM272767,1,1,-7.345805644989014,-0.6235189437866211
GSM272768,1,1,3.3456499576568604,21.89151954650879
GSM272914,0,0,-4.984039783477783,-15.815256118774414
GSM272915,0,0,16.752897262573242,8.3361177444458
GSM272916,0,0,-3.8349175453186035,-14.757377624511719
GSM272917,0,0,11.124363899230957,3.1054093837738037
GSM272918,0,0,-1.3301283121109009,-13.187681198120117
GSM272919,0,0,-2.809859275817871,-4.741894245147705
GSM272920,0,0,-8.579019546508789,-18.907243728637695
GSM272921,0,0,1.6893452405929565,-8.985816955566406
GSM272994,0,0,-8.461136817932129,-17.610950469970703
GSM273007,0,0,-5.305329322814941,-10.427692413330078
GSM273008,0,0,-20.801349639892578,-31.267120361328125
GSM273009,0,0,-1.6035817861557007,-5.110830783843994
GSM273012,0,0,8.366471290588379,-8.787165641784668
GSM273227,0,0,-2.44805908203125,-8.533063888549805
GSM273228,0,0,-8.789326667785645,-12.29491901397705
GSM273229,0,0,-0.7599774599075317,-1.4537707567214966
GSM273230,0,0,-7.787840366363525,-13.127352714538574
GSM273231,0,1,-3.542518138885498,4.800880432128906
GSM273232,0,0,1.7563161849975586,-3.8159239292144775
GSM273233,0,0,2.561793804168701,-3.3506457805633545
GSM273234,0,0,0.38737934827804565,-1.2452553510665894
GSM273269,0,1,-0.005026623606681824,1.7801111936569214
GSM273270,0,0,1.0333060026168823,-0.8262391090393066
GSM274608,1,1,-1.3902047872543335,9.280989646911621
GSM274609,1,1,-10.979772567749023,23.746618270874023
GSM274610,1,1,13.718404769897461,24.40220832824707
GSM275309,1,1,-13.419323921203613,9.873115539550781
GSM275312,1,1,-3.196732997894287,4.216693878173828
GSM275313,1,1,-1.5378812551498413,25.024080276489258
GSM275314,1,1,-7.2377095222473145,3.299415111541748
GSM275417,0,0,-10.47385311126709,-29.194812774658203
GSM275418,0,0,-20.798776626586914,-29.446857452392578
GSM275419,0,0,-12.454943656921387,-20.01653480529785
GSM275420,0,0,8.809243202209473,4.669122695922852
GSM275676,1,1,-7.0488104820251465,-3.0735156536102295
GSM275677,1,1,-7.781311511993408,29.744325637817383
GSM275678,1,1,-11.153144836425781,0.6151964664459229
GSM275680,1,1,3.201798915863037,5.109082221984863
GSM275681,1,1,-7.521152496337891,17.880094528198242
GSM275682,1,1,-8.764369010925293,5.438187599182129
GSM275683,1,1,0.21030671894550323,25.237184524536133
GSM275684,1,1,-14.388693809509277,11.292825698852539
GSM275685,1,1,-16.661645889282227,31.934324264526367
GSM275686,1,1,-6.080399990081787,6.760869979858398
GSM275688,0,0,1.9635964632034302,-6.215314865112305
GSM277264,0,0,-1.5879091024398804,-13.757591247558594
GSM277265,0,0,-6.445010662078857,-9.495424270629883
GSM277266,0,0,-6.1110005378723145,-14.569570541381836
GSM277268,0,0,-10.345821380615234,-17.310077667236328
GSM277269,0,0,-20.39615249633789,-32.64512634277344
GSM277270,0,0,11.032835006713867,5.171342372894287
GSM277272,0,0,-18.86784553527832,-27.902624130249023
GSM277273,0,0,-4.571673393249512,-12.948004722595215
GSM304352,0,0,-11.645636558532715,-24.56426239013672
GSM277427,1,1,-2.282426595687866,9.529837608337402
GSM277428,1,1,-8.861674308776855,14.147412300109863
GSM277429,1,1,-3.1054797172546387,21.54830551147461
GSM277430,1,1,-6.972263336181641,11.516151428222656
GSM277637,1,1,0.026788249611854553,2.18686842918396
GSM277638,1,1,-1.829578161239624,1.9372212886810303
GSM277639,1,1,-1.7328487634658813,0.7988944053649902
GSM277640,1,1,-6.461563587188721,2.046097993850708
GSM277641,1,1,-1.3453108072280884,7.36102294921875
GSM277642,1,1,-4.370593070983887,2.0058672428131104
GSM277800,1,1,-0.8950452208518982,13.400654792785645
GSM277801,1,1,-5.218491077423096,1.068177342414856
GSM277802,1,1,-5.244484901428223,7.826210021972656
GSM277803,1,1,3.2150282859802246,11.528783798217773
GSM277804,1,1,0.813298761844635,8.512754440307617
