GPL_ID	GSE_ID	GSM_ID	CANCER	CANCER_CODE
GPL570	GSE7307	GSM176407	0	ACC
GPL570	GSE7307	GSM176408	0	ACC
GPL570	GSE7307	GSM176409	0	ACC
GPL570	GSE7307	GSM176410	0	ACC
GPL570	GSE8442	GSM209791	1	ACC
GPL570	GSE8442	GSM209793	1	ACC
GPL570	GSE8442	GSM209794	1	ACC
GPL570	GSE8442	GSM209795	0	ACC
GPL570	GSE8442	GSM209797	0	ACC
GPL570	GSE8442	GSM209799	0	ACC
GPL570	GSE8442	GSM209800	1	ACC
GPL570	GSE8442	GSM209801	1	ACC
GPL570	GSE8588	GSM213193	1	ACC
GPL570	GSE8588	GSM213194	1	ACC
GPL570	GSE8588	GSM213197	1	ACC
GPL570	GSE8588	GSM213199	1	ACC
GPL570	GSE8588	GSM213200	1	ACC
GPL570	GSE8588	GSM213201	1	ACC
GPL570	GSE8588	GSM213204	1	ACC
GPL570	GSE8588	GSM213205	1	ACC
GPL570	GSE8588	GSM213210	1	ACC
GPL570	GSE10927	GSM277090	0	ACC
GPL570	GSE10927	GSM277091	0	ACC
GPL570	GSE10927	GSM277092	0	ACC
GPL570	GSE10927	GSM277093	0	ACC
GPL570	GSE10927	GSM277094	0	ACC
GPL570	GSE10927	GSM277095	0	ACC
GPL570	GSE10927	GSM277096	0	ACC
GPL570	GSE10927	GSM277097	0	ACC
GPL570	GSE10927	GSM277098	0	ACC
GPL570	GSE10927	GSM277099	0	ACC
GPL570	GSE10927	GSM277100	0	ACC
GPL570	GSE10927	GSM277101	0	ACC
GPL570	GSE10927	GSM277102	0	ACC
GPL570	GSE10927	GSM277103	0	ACC
GPL570	GSE10927	GSM277104	0	ACC
GPL570	GSE10927	GSM277105	0	ACC
GPL570	GSE10927	GSM277106	0	ACC
GPL570	GSE10927	GSM277107	0	ACC
GPL570	GSE10927	GSM277108	0	ACC
GPL570	GSE10927	GSM277109	0	ACC
GPL570	GSE10927	GSM277110	0	ACC
GPL570	GSE10927	GSM277111	0	ACC
GPL570	GSE10927	GSM277112	0	ACC
GPL570	GSE10927	GSM277113	0	ACC
GPL570	GSE10927	GSM277114	0	ACC
GPL570	GSE10927	GSM277115	0	ACC
GPL570	GSE10927	GSM277116	0	ACC
GPL570	GSE10927	GSM277117	0	ACC
GPL570	GSE10927	GSM277118	0	ACC
GPL570	GSE10927	GSM277119	0	ACC
GPL570	GSE10927	GSM277120	0	ACC
GPL570	GSE10927	GSM277121	0	ACC
GPL570	GSE10927	GSM277122	1	ACC
GPL570	GSE10927	GSM277123	1	ACC
GPL570	GSE10927	GSM277124	1	ACC
GPL570	GSE10927	GSM277125	1	ACC
GPL570	GSE10927	GSM277126	1	ACC
GPL570	GSE10927	GSM277127	1	ACC
GPL570	GSE10927	GSM277128	1	ACC
GPL570	GSE10927	GSM277129	1	ACC
GPL570	GSE10927	GSM277130	1	ACC
GPL570	GSE10927	GSM277131	1	ACC
GPL570	GSE10927	GSM277132	1	ACC
GPL570	GSE10927	GSM277133	1	ACC
GPL570	GSE10927	GSM277134	1	ACC
GPL570	GSE10927	GSM277135	1	ACC
GPL570	GSE10927	GSM277136	1	ACC
GPL570	GSE10927	GSM277137	1	ACC
GPL570	GSE10927	GSM277138	1	ACC
GPL570	GSE10927	GSM277139	1	ACC
GPL570	GSE10927	GSM277140	1	ACC
GPL570	GSE10927	GSM277141	1	ACC
GPL570	GSE10927	GSM277142	1	ACC
GPL570	GSE10927	GSM277143	1	ACC
GPL570	GSE10927	GSM277144	1	ACC
GPL570	GSE10927	GSM277145	1	ACC
GPL570	GSE10927	GSM277146	1	ACC
GPL570	GSE10927	GSM277147	1	ACC
GPL570	GSE10927	GSM277148	1	ACC
GPL570	GSE10927	GSM277149	1	ACC
GPL570	GSE10927	GSM277150	1	ACC
GPL570	GSE10927	GSM277151	1	ACC
GPL570	GSE10927	GSM277152	1	ACC
GPL570	GSE10927	GSM277153	1	ACC
GPL570	GSE10927	GSM277154	1	ACC
GPL570	GSE12368	GSM310459	0	ACC
GPL570	GSE12368	GSM310460	0	ACC
GPL570	GSE12368	GSM310461	0	ACC
GPL570	GSE12368	GSM310462	0	ACC
GPL570	GSE12368	GSM310463	0	ACC
GPL570	GSE12368	GSM310464	0	ACC
GPL570	GSE12368	GSM310465	0	ACC
GPL570	GSE12368	GSM310466	0	ACC
