"","accuracy","number_of_patients"
"NON.CANCER",0.976,4360
"BRCA",0.979,899
"COAD",0.949,396
"PRAD",0.992,265
"LAML",0.941,254
"OV",0.959,241
"LUAD.LUSC",0.922,217
"LIHC",0.972,214
"SARC",0.934,212
"GBM",0.99,210
"PAAD",0.983,178
"CESC",0.994,178
"SKCM",0.981,159
"LUAD",0.979,145
"ACUTE.LYMPHOBLASTIC.LEUKEMIA",1,144
"NEUROBLASTOMA",0.986,140
"MULTIPLE.MYELOMA",0.985,133
"KIRC",0.974,77
"HNSC",0.97,67
"STAD",0.969,65
"LCML",0.966,58
"DLBC",1,58
"ESCA",0.768,56
"MEDULLOBLASTOMA",1,52
"GLIOMA",1,49
"UCEC",1,44
"NASOPHARYNGEAL.CARCINOMA",1,41
"MANTLE.CELL.LYMPHOMA",1,34
"HISTOCYTIC.LYMPHOMA",1,32
"CUTANEOUS.T.CELL.LYMPHOMA",1,32
"CHRONIC.LYMPHOCYTIC.LEUKEMIA",1,31
"FOLLICULAR.LYMPHOMA",1,29
"ADENOID.CYSTIC.CARCINOMA",1,28
"THCA",1,27
"LUNG.CANCER",1,27
"ACC",0.96,25
"UTERINE.LEIOMYOMATA",0.75,24
"HODGKIN.LYMPHOMA",0.958,24
"MESO",1,22
"LUSC",1,22
"BURKITT.LYMPHOMA",1,22
"BLCA",1,22
"B.CELL.LYMPHOMA",1,19
"NUT.MIDLINE.CARCINOMA",1,17
"MUCOSA.ASSOCIATED.LYMPHOID.TISSUE.LYMPHOMA",1,17
"TESTICULAR.GERM.CELL.TUMOR",1,16
"LYMPHOMA",0.929,14
"EMBRYNOIC.CARCINOMA",0.923,13
"CHOLANGIOCARCINOMA",1,13
"SMALL.CELL.LUNG.CARCINOMA",1,12
"SEROUS.CARCINOMA",1,12
"READ",1,10
"NORMAL.KIDNEY",1,9
"MEGAKARYOBLASTIC.LEUKEMIA",1,9
"KICH",1,9
"SPLENIC.MARGINAL.CELL.LYMPHOMA",1,8
"LARGE.CELL.LUNG.CARCINOMA",1,8
"ACUTE..MEGAKARYOCYTIC.LEUKEMIA",0.875,8
"T.CELL.LYMPHOMA",0.857,7
"SQUAMOUS.CELL.VULVAR.CARCINOMA",1,7
"DROPPED",0.857,7
"LGG",1,6
"PRIMARY.MEDIASTINAL.B.CELL.LYMPHOMA",1,5
"MUCOEPIDERMOID.PULMONARY.CARCINOMA",0.2,5
"LARGE.GRANULAR.LYMPHOCYTE.LEUKEMIA",1,5
"NEUROECTODERMAL.TUMOR",1,4
"EPENDYMOMA",1,4
"HYPOPHARYNGEAL.CANCER",1,3
"ATYPICAL.TERATOID...RHABDOID.TUMOR",1,3
"UVM",0.5,2
"TETRATOCARCINOMA",0,2
"OLIGOASTROCYTOMA",1,2
"NEPHROBLASTOMA",1,2
"MENINGIOMA",0.5,2
"KIRC.KICH.KIRP",1,2
"GBM.LGG",0.5,2
"SHWANNOMA",1,1
"LAML.LCML",1,1
