"","accuracy","number_of_patients"
"NON.CANCER",0.985,4333
"BRCA",0.965,887
"COAD",0.98,407
"PRAD",0.992,261
"LAML",0.92,250
"OV",0.996,238
"GBM",0.974,230
"LIHC",0.991,219
"LUAD.LUSC",0.917,217
"SARC",0.935,199
"CESC",1,186
"PAAD",0.989,180
"SKCM",0.994,168
"ACUTE.LYMPHOBLASTIC.LEUKEMIA",0.993,152
"NEUROBLASTOMA",0.957,140
"MULTIPLE.MYELOMA",1,134
"LUAD",0.978,134
"KIRC",0.987,79
"HNSC",0.956,68
"STAD",0.91,67
"DLBC",1,63
"LCML",0.982,55
"GLIOMA",0.887,53
"ESCA",0.804,51
"MEDULLOBLASTOMA",1,48
"MANTLE.CELL.LYMPHOMA",0.977,43
"UCEC",0.976,42
"NASOPHARYNGEAL.CARCINOMA",0.975,40
"LUNG.CANCER",0.971,34
"HISTOCYTIC.LYMPHOMA",1,32
"FOLLICULAR.LYMPHOMA",1,32
"CUTANEOUS.T.CELL.LYMPHOMA",1,31
"CHRONIC.LYMPHOCYTIC.LEUKEMIA",1,31
"THCA",0.933,30
"ADENOID.CYSTIC.CARCINOMA",1,30
"UTERINE.LEIOMYOMATA",0.76,25
"ACC",0.84,25
"LUSC",1,23
"BURKITT.LYMPHOMA",1,23
"HODGKIN.LYMPHOMA",1,21
"MESO",0.95,20
"B.CELL.LYMPHOMA",1,19
"MUCOSA.ASSOCIATED.LYMPHOID.TISSUE.LYMPHOMA",0.944,18
"BLCA",0.944,18
"TESTICULAR.GERM.CELL.TUMOR",1,14
"NUT.MIDLINE.CARCINOMA",1,14
"LYMPHOMA",0.929,14
"EMBRYNOIC.CARCINOMA",0.846,13
"SEROUS.CARCINOMA",0.909,11
"NORMAL.KIDNEY",1,11
"CHOLANGIOCARCINOMA",1,11
"SMALL.CELL.LUNG.CARCINOMA",1,10
"READ",1,10
"ACUTE..MEGAKARYOCYTIC.LEUKEMIA",1,10
"MEGAKARYOBLASTIC.LEUKEMIA",1,9
"LARGE.CELL.LUNG.CARCINOMA",1,9
"SPLENIC.MARGINAL.CELL.LYMPHOMA",1,8
"DROPPED",1,8
"LARGE.GRANULAR.LYMPHOCYTE.LEUKEMIA",0.714,7
"T.CELL.LYMPHOMA",0.833,6
"SQUAMOUS.CELL.VULVAR.CARCINOMA",1,6
"KICH",1,6
"PRIMARY.MEDIASTINAL.B.CELL.LYMPHOMA",1,4
"NEUROECTODERMAL.TUMOR",1,4
"EPENDYMOMA",0.75,4
"MUCOEPIDERMOID.PULMONARY.CARCINOMA",0.667,3
"KIRC.KICH.KIRP",1,3
"HYPOPHARYNGEAL.CANCER",1,3
"UVM",1,2
"TETRATOCARCINOMA",1,2
"OLIGOASTROCYTOMA",1,2
"NEPHROBLASTOMA",1,2
"LGG",1,2
"LAML.LCML",1,2
"GBM.LGG",1,2
"ATYPICAL.TERATOID...RHABDOID.TUMOR",1,2
"SHWANNOMA",1,1
"PLACENTAL.CHORIOCARCINOMA",1,1
"MENINGIOMA",1,1
"CHORIOCARCINOMA",1,1
