"","accuracy","number_of_patients"
"MENINGIOMA",0,2
"SHWANNOMA",0,1
"TETRATOCARCINOMA",0,2
"SQUAMOUS.CELL.VULVAR.CARCINOMA",0.143,7
"MUCOEPIDERMOID.PULMONARY.CARCINOMA",0.2,5
"MUCOSA.ASSOCIATED.LYMPHOID.TISSUE.LYMPHOMA",0.235,17
"SPLENIC.MARGINAL.CELL.LYMPHOMA",0.25,8
"TESTICULAR.GERM.CELL.TUMOR",0.25,16
"EMBRYNOIC.CARCINOMA",0.385,13
"LARGE.GRANULAR.LYMPHOCYTE.LEUKEMIA",0.4,5
"EPENDYMOMA",0.5,4
"GBM.LGG",0.5,2
"UVM",0.5,2
"T.CELL.LYMPHOMA",0.571,7
"MESO",0.636,22
"ACC",0.64,25
"LYMPHOMA",0.643,14
"HNSC",0.687,67
"CHOLANGIOCARCINOMA",0.692,13
"READ",0.7,10
"DLBC",0.707,58
"FOLLICULAR.LYMPHOMA",0.724,29
"LUSC",0.727,22
"NEUROECTODERMAL.TUMOR",0.75,4
"UTERINE.LEIOMYOMATA",0.75,24
"MULTIPLE.MYELOMA",0.759,133
"GBM",0.762,210
"LAML",0.764,254
"NUT.MIDLINE.CARCINOMA",0.765,17
"SARC",0.811,212
"THCA",0.815,27
"UCEC",0.818,44
"LGG",0.833,6
"SMALL.CELL.LUNG.CARCINOMA",0.833,12
"CHRONIC.LYMPHOCYTIC.LEUKEMIA",0.839,31
"LCML",0.845,58
"STAD",0.846,65
"NASOPHARYNGEAL.CARCINOMA",0.854,41
"GLIOMA",0.857,49
"BLCA",0.864,22
"COAD",0.866,396
"ACUTE.LYMPHOBLASTIC.LEUKEMIA",0.868,144
"BRCA",0.868,899
"LUAD",0.869,145
"KICH",0.889,9
"LUNG.CANCER",0.889,27
"LUAD.LUSC",0.899,217
"CESC",0.91,178
"HODGKIN.LYMPHOMA",0.917,24
"SEROUS.CARCINOMA",0.917,12
"SKCM",0.918,159
"OV",0.921,241
"LIHC",0.925,214
"ADENOID.CYSTIC.CARCINOMA",0.929,28
"PAAD",0.933,178
"NON.CANCER",0.935,4360
"MANTLE.CELL.LYMPHOMA",0.941,34
"KIRC",0.948,77
"ESCA",0.964,56
"PRAD",0.966,265
"NEUROBLASTOMA",0.971,140
"ACUTE..MEGAKARYOCYTIC.LEUKEMIA",1,8
"ATYPICAL.TERATOID...RHABDOID.TUMOR",1,3
"B.CELL.LYMPHOMA",1,19
"BURKITT.LYMPHOMA",1,22
"CUTANEOUS.T.CELL.LYMPHOMA",1,32
"DROPPED",1,7
"HISTOCYTIC.LYMPHOMA",1,32
"HYPOPHARYNGEAL.CANCER",1,3
"KIRC.KICH.KIRP",1,2
"LAML.LCML",1,1
"LARGE.CELL.LUNG.CARCINOMA",1,8
"MEDULLOBLASTOMA",1,52
"MEGAKARYOBLASTIC.LEUKEMIA",1,9
"NEPHROBLASTOMA",1,2
"NORMAL.KIDNEY",1,9
"OLIGOASTROCYTOMA",1,2
"PRIMARY.MEDIASTINAL.B.CELL.LYMPHOMA",1,5
