"","accuracy","number_of_patients"
"EPENDYMOMA",0,1
"MENINGIOMA",0,1
"SHWANNOMA",0,1
"TETRATOCARCINOMA",0,1
"SQUAMOUS.CELL.VULVAR.CARCINOMA",0.143,7
"EMBRYNOIC.CARCINOMA",0.154,13
"SPLENIC.MARGINAL.CELL.LYMPHOMA",0.167,6
"TESTICULAR.GERM.CELL.TUMOR",0.357,14
"LARGE.GRANULAR.LYMPHOCYTE.LEUKEMIA",0.429,7
"GBM.LGG",0.5,2
"MUCOSA.ASSOCIATED.LYMPHOID.TISSUE.LYMPHOMA",0.5,14
"UVM",0.5,2
"LYMPHOMA",0.562,16
"KICH",0.571,7
"HNSC",0.589,56
"READ",0.625,8
"T.CELL.LYMPHOMA",0.7,10
"DLBC",0.703,64
"CHOLANGIOCARCINOMA",0.727,11
"UCEC",0.73,37
"THCA",0.731,26
"LAML",0.749,263
"MESO",0.75,24
"ACC",0.76,25
"MULTIPLE.MYELOMA",0.765,136
"GLIOMA",0.771,48
"LUNG.CANCER",0.778,27
"NUT.MIDLINE.CARCINOMA",0.778,18
"UTERINE.LEIOMYOMATA",0.778,18
"FOLLICULAR.LYMPHOMA",0.786,28
"ACUTE.LYMPHOBLASTIC.LEUKEMIA",0.806,134
"SARC",0.809,220
"LCML",0.831,65
"LGG",0.833,6
"BRCA",0.852,878
"LUAD",0.853,136
"GBM",0.857,224
"NASOPHARYNGEAL.CARCINOMA",0.857,42
"COAD",0.864,418
"BLCA",0.87,23
"STAD",0.873,71
"OV",0.891,238
"CHRONIC.LYMPHOCYTIC.LEUKEMIA",0.893,28
"SEROUS.CARCINOMA",0.9,10
"SMALL.CELL.LUNG.CARCINOMA",0.9,10
"CESC",0.904,166
"SKCM",0.909,165
"LUAD.LUSC",0.919,209
"PAAD",0.925,160
"LIHC",0.93,213
"NON.CANCER",0.935,4299
"PRAD",0.944,251
"ADENOID.CYSTIC.CARCINOMA",0.962,26
"HODGKIN.LYMPHOMA",0.962,26
"ESCA",0.982,55
"NEUROBLASTOMA",0.986,147
"KIRC",0.988,81
"ACUTE..MEGAKARYOCYTIC.LEUKEMIA",1,4
"ATYPICAL.TERATOID...RHABDOID.TUMOR",1,4
"B.CELL.LYMPHOMA",1,14
"BURKITT.LYMPHOMA",1,26
"CHORIOCARCINOMA",1,1
"CUTANEOUS.T.CELL.LYMPHOMA",1,29
"DROPPED",1,8
"HISTOCYTIC.LYMPHOMA",1,31
"HYPOPHARYNGEAL.CANCER",1,3
"KIRC.KICH.KIRP",1,4
"LAML.LCML",1,2
"LARGE.CELL.LUNG.CARCINOMA",1,10
"LUSC",1,19
"MANTLE.CELL.LYMPHOMA",1,36
"MEDULLOBLASTOMA",1,47
"MEGAKARYOBLASTIC.LEUKEMIA",1,7
"MUCOEPIDERMOID.PULMONARY.CARCINOMA",1,4
"NEPHROBLASTOMA",1,2
"NEUROECTODERMAL.TUMOR",1,4
"NORMAL.KIDNEY",1,10
"OLIGOASTROCYTOMA",1,2
"PLACENTAL.CHORIOCARCINOMA",1,1
"PRIMARY.MEDIASTINAL.B.CELL.LYMPHOMA",1,4
