"GSM_NUMBER","CANCER"
"GSM186024",1
"GSM186025",1
"GSM186026",1
"GSM186027",1
"GSM186028",1
"GSM186029",1
"GSM186030",1
"GSM186031",1
"GSM708667",1
"GSM709339",1
"GSM474493",0
"GSM474494",0
"GSM474495",0
"GSM474496",0
"GSM474497",0
"GSM474498",0
"GSM474499",0
"GSM474500",0
"GSM474501",0
"GSM474502",0
"GSM474503",0
"GSM474504",0
"GSM92510",1
"GSM92511",1
"GSM994202",0
"GSM994203",0
"GSM994204",0
"GSM994205",0
"GSM994206",0
"GSM994207",0
"GSM994208",0
"GSM994209",0
"GSM287846",1
"GSM287847",1
"GSM287848",1
"GSM287849",1
"GSM287850",1
"GSM287851",1
"GSM287862",1
"GSM287863",1
"GSM287864",1
"GSM287865",1
"GSM287905",1
"GSM287906",1
"GSM287907",1
"GSM287909",1
"GSM287910",1
"GSM595491",1
"GSM595492",1
"GSM595493",1
"GSM595494",1
"GSM595495",1
"GSM595496",1
"GSM595513",1
"GSM595514",1
"GSM641483",1
"GSM641484",1
"GSM641485",1
"GSM641486",1
"GSM641487",1
"GSM641488",1
"GSM641489",1
"GSM641490",1
"GSM641491",1
"GSM641492",1
"GSM641493",1
"GSM641494",1
"GSM641495",1
"GSM641496",1
"GSM641497",1
"GSM641498",1
"GSM641499",1
"GSM641500",1
"GSM641501",1
"GSM641502",1
"GSM641503",1
"GSM641504",1
"GSM641505",1
"GSM641506",1
"GSM464377",0
"GSM464378",0
"GSM464379",0
"GSM464380",0
"GSM464381",0
"GSM464382",0
"GSM464383",0
"GSM464384",0
"GSM464385",0
"GSM464386",0
"GSM464387",0
"GSM464388",0
"GSM850484",1
"GSM850485",1
"GSM850486",1
"GSM850487",1
"GSM850488",1
"GSM850489",1
"GSM850490",1
"GSM850491",1
"GSM850492",1
"GSM850493",1
"GSM850494",1
"GSM850495",1
"GSM850496",1
"GSM850497",1
"GSM850498",1
"GSM850499",1
"GSM850500",1
