index,gene_names,weighted_max,weighted_sum,abs_sum
2475,NEFH,0.304102316,0.002563,0.002563
165,TRIM22,0.163318023,0.010580555,0.010580555
1009,KCNN2,0.145745583,-0.013554573,0.013554573
5421,AVIL,0.126787588,0.014927864,0.014927864
3919,CDH10,0.076608464,-0.017614603,0.017614603
5481,FAM3D,0.161053687,-0.017736793,0.017736793
1648,CD38,0.15559762,-0.020642281,0.020642281
2754,PTGDS,0.098498777,-0.029944658,0.029944658
805,LYPD1,-0.003375642,0.038396835,0.038396835
2102,FJX1,0.146686435,0.040906906,0.040906906
1396,KIF21B,0.066394642,0.041956902,0.041956902
1127,HOXB2,0.213473514,0.042568564,0.042568564
3640,INPP5D,0.154135272,-0.043256521,0.043256521
1495,KRT34,0.092195317,-0.043374062,0.043374062
56,HBA1 /// HBA2,0.176722035,-0.044349194,0.044349194
101,AKR1B10,0.097876832,0.047466874,0.047466874
3934,AXL,0.165202126,0.052426577,0.052426577
654,TSPAN1,0.254085489,-0.054472506,0.054472506
1366,SRPX2,0.229207519,0.063976288,0.063976288
784,GZMB,0.080910683,0.068332672,0.068332672
4331,CXorf65,0.048696116,-0.074193954,0.074193954
1284,KIAA1598,0.097350709,-0.07558012,0.07558012
463,GPNMB,0.041079231,0.081470966,0.081470966
1943,BHMT2,0.01625891,0.081676006,0.081676006
2006,GPR143,0.138637356,-0.082217216,0.082217216
878,PRAME,0.188526139,-0.083886594,0.083886594
362,CLDN7,0.12453977,-0.084813952,0.084813952
4939,ZNF649,0.104973033,0.094893932,0.094893932
1443,KIAA1462,0.04713615,0.103591442,0.103591442
430,CDS1,0.110527612,-0.108858928,0.108858928
4482,KIAA0319L,0.057835869,-0.109472752,0.109472752
315,IQGAP2,0.145071372,-0.110757828,0.110757828
2060,HHEX,0.383795567,0.111279011,0.111279011
973,C4orf49,0.236936197,-0.115951538,0.115951538
156,CCL4,0.061430871,0.121694922,0.121694922
630,TSPYL5,0.169968337,-0.123838842,0.123838842
2430,ZNF880,0.151531324,0.129201055,0.129201055
3992,PSG9,0.144684874,0.129897177,0.129897177
279,LOXL1,0.103816561,0.131776631,0.131776631
47,AGR2,0.102981314,0.139394164,0.139394164
2712,ZNF167,0.16712486,0.140410423,0.140410423
4911,ZFX /// ZFY,0.151230358,0.142000675,0.142000675
193,COL6A2,0.163637526,-0.14281559,0.14281559
2561,ASGR1,0.143986925,0.146769524,0.146769524
5817,GDF3,0.083673984,-0.147315741,0.147315741
4862,MGC70870,0.202937275,-0.151990891,0.151990891
2350,ENTPD1,0.093981177,-0.156777859,0.156777859
298,STC2,0.158891186,0.159360647,0.159360647
3042,NEIL3,0.147318557,0.159417629,0.159417629
1753,SYNGR3,0.349335164,-0.164432406,0.164432406
116,TPM2,0.109674655,-0.16591692,0.16591692
2659,LOC401022,0.122105062,-0.166285276,0.166285276
1005,STC1,0.424749836,-0.167148113,0.167148113
3267,C19orf46,0.106775507,0.168832779,0.168832779
1588,AGTR1,0.121234991,-0.171405315,0.171405315
629,SGK1,0.113864601,-0.173346519,0.173346519
480,C5AR1,0.190469682,0.176178455,0.176178455
3346,MGC87042,0.176350921,-0.179549694,0.179549694
3930,NPTX1,0.124119133,-0.18391943,0.18391943
1880,ZIC3,0.085857175,0.187871933,0.187871933
3444,EPB41,0.183253236,0.188537836,0.188537836
211,GPM6B,0.157934412,0.188702822,0.188702822
1786,PCDHB2,0.152253315,0.190418243,0.190418243
3422,RAB23,0.16290696,-0.192032576,0.192032576
1513,KYNU,0.205682039,0.196432114,0.196432114
355,IL7R,0.066560693,-0.207091391,0.207091391
3605,ARHGAP18,0.161842369,-0.208639145,0.208639145
