,result,prediction,prob0,prob1
GSM253210,0,0,7.3594770431518555,-6.6846747398376465
GSM253216,0,0,6.993447780609131,-6.349009037017822
GSM256745,0,0,9.440608978271484,-8.508096694946289
GSM256746,0,0,9.571158409118652,-8.622753143310547
GSM256747,0,0,9.924725532531738,-8.924009323120117
GSM256749,0,0,9.45512866973877,-8.533950805664062
GSM257190,0,0,10.18421459197998,-9.286637306213379
GSM257248,1,1,-2.748042583465576,3.5360774993896484
GSM257525,0,0,4.978207111358643,-4.493673324584961
GSM257528,0,0,6.617330551147461,-5.982922077178955
GSM257661,0,0,4.157683849334717,-3.9751973152160645
GSM257472,1,1,-1.3725347518920898,1.620877981185913
GSM259831,1,1,-2.8727235794067383,3.9093716144561768
GSM259832,1,1,-3.4206008911132812,4.549605369567871
GSM259833,1,1,-3.3260860443115234,4.4278035163879395
GSM259834,1,1,-4.674077033996582,5.989394187927246
GSM259835,1,1,-4.225603103637695,5.477954387664795
GSM259836,1,1,-4.573413372039795,5.889344692230225
GSM260250,1,1,-5.707883834838867,7.322028636932373
GSM260251,1,1,-5.694785118103027,7.309433937072754
GSM260252,1,1,-5.856444358825684,7.5010175704956055
GSM260253,1,1,-5.967552661895752,7.6422247886657715
GSM260254,1,1,-5.915519714355469,7.5765252113342285
GSM260255,1,1,-6.151277542114258,7.873173236846924
GSM260256,1,1,-6.1849684715271,7.913135528564453
GSM260257,1,1,-5.7756028175354,7.385075092315674
GSM260249,1,1,-5.804490566253662,7.43704891204834
GSM260534,1,1,-14.64024829864502,25.228628158569336
GSM260535,1,1,-5.42555570602417,6.156216621398926
GSM260536,1,1,-4.885055065155029,5.970458030700684
GSM263933,0,0,13.013711929321289,-11.198891639709473
GSM263934,0,0,11.286834716796875,-9.688592910766602
GSM263935,0,0,10.44737720489502,-9.141519546508789
GSM263936,0,0,9.408923149108887,-8.313884735107422
GSM265494,0,0,11.01764965057373,-9.666950225830078
GSM265495,0,0,11.799673080444336,-10.191569328308105
GSM265496,0,0,14.68075180053711,-12.819388389587402
GSM265497,0,0,11.58341121673584,-10.147856712341309
GSM265498,0,0,10.414567947387695,-9.210129737854004
GSM265499,0,0,10.55807113647461,-9.29607105255127
GSM264755,0,0,11.59086799621582,-9.726451873779297
GSM264756,0,0,12.547358512878418,-10.418010711669922
GSM264758,0,0,12.418171882629395,-10.32076644897461
GSM265052,0,0,11.57175350189209,-10.115869522094727
GSM265053,0,0,10.556822776794434,-9.259873390197754
GSM265054,0,0,10.317305564880371,-9.048685073852539
GSM265055,0,0,11.30954360961914,-9.896505355834961
GSM265056,0,0,12.340693473815918,-10.730173110961914
GSM265057,0,0,11.348950386047363,-9.928772926330566
GSM265059,0,0,11.620951652526855,-10.12524127960205
GSM265505,0,0,6.806953430175781,-6.119475364685059
GSM265507,0,0,7.305688858032227,-6.5941162109375
GSM265509,0,0,7.063366413116455,-6.33580207824707
GSM265818,1,1,-6.0235161781311035,7.448203086853027
