,gene_index,gene_names,probability_change
0,0,XIST,66.41068169656364
1,1,HLA.DRB4.....LOC100509582,45.025762814683105
2,2,CMPK2,42.99334725935633
3,3,MMP1,47.74241791024128
4,4,RPS4Y1,45.581537204693284
5,5,IGHA1.....IGHA2.....LOC100126583,48.41471171018193
6,6,IL8,47.8014127024016
7,7,EGFR,56.117628613757816
8,8,CHI3L1,51.322557787149464
9,9,CCL20,47.67311705707023
10,10,KRT19,55.06323294645833
11,11,LYZ,44.34535754820781
12,12,LUM,43.6806650999693
13,13,HLA.DQA1,44.86359252068887
14,14,C9orf117,47.6588299792436
15,15,CARD16,43.79167795231632
16,16,MGC34034,48.934549588798326
17,17,GJA1,41.86738865076093
18,18,IFIT1,40.547713645544185
19,19,HLA.DRA,49.506197659996474
20,20,S100A8,59.068569679630656
21,21,COL1A1,44.54309285610777
22,22,SPARC,40.9297185886486
23,23,LRRC25,45.68758532806419
24,24,EIF1AY,54.18556453720153
25,25,COL3A1,44.25607336311085
26,26,SEPP1,42.62005729403752
27,27,CTGF,45.724580211279935
28,28,HLA.DPA1,44.73352795231101
29,29,CCL5,48.95586365940717
30,30,MGP,49.863768963951046
31,31,HLA.DQA1.....HLA.DQA2,46.4252719618581
32,32,MAL2,44.03551904061186
33,33,EPCAM,45.799822743058606
34,34,PTX3,42.67115006536398
35,35,COL6A3,75.9581355621558
36,36,HLA.DQB1,49.14398532311445
37,37,ANK3,44.60950893064573
38,38,SERPINA1,44.876673508276276
39,39,IGJ,44.337084037205265
40,40,EFEMP1,42.483535283064825
41,41,PLAC8,44.92065192636266
42,42,COL1A2,45.518632629721324
43,43,TSPAN8,43.30719220420637
44,44,CXCL1,45.70037442635741
45,45,DSP,47.550805397917955
46,46,ALDH1A1,43.51527417469538
47,47,AGR2,43.49185358261481
48,48,CYTL1,47.86647305414813
49,49,CD24,45.722807104081326
50,50,CCL2,44.071137555311964
51,51,NNMT,49.03755293350271
52,52,TGFBI,45.28081376903712
53,53,S100A9,49.02224634342806
54,54,UGT2B17,52.87451363274062
55,55,DKK1,44.81902361974651
56,56,HBA1.....HBA2,45.27364884617651
57,57,IGFBP3,52.70911689281667
58,58,CTHRC1,94.93305424302167
59,59,S100P,44.57659020761886
60,60,KRT18,44.16413309153967
61,61,MAGEA6,44.830247821798366
62,62,CXCL13,45.94350178174899
63,63,CSTA,45.23548282372085
