,gene_index,gene_names,probability_change
0,0,CTSL2,22.829629830135886
1,1,LOC730755,25.003125921421134
2,2,CMTM8,23.369362097786055
3,3,LRRN4CL,24.474909092258965
4,4,CCRL1,26.226886304786124
5,5,DSC2,24.18939049779678
6,6,NAP1L5,27.000980806689043
7,7,CAP2,31.796585590750407
8,8,RAB3B,36.08809113243545
9,9,FUCA2,33.48708450089529
10,10,SHISA9,37.04514510625794
11,11,SCG5,47.14430031642551
12,12,KCNS3,48.358890199923565
13,13,NCF4,47.708227011775364
14,14,LILRA4,49.32966220796556
15,15,MYCL1,56.58419626301487
16,16,AMICA1,52.94720813876193
17,17,PPAP2B,44.77964230256806
18,18,LHFP,47.431458613025306
19,19,ZNF677,48.79491700849409
20,20,KLKB1,46.31763759514958
21,21,HSPA6,48.243367175429086
22,22,CDCA2,57.14105550050069
23,23,ANK3,57.34600590865505
24,24,ALDH5A1,60.80214438372633
25,25,SHB,61.7008167496744
26,26,C9orf125,62.55672274560028
27,27,GHR,61.49646535199018
28,28,CD40,70.70151790221686
29,29,KCNK2,70.44666878506156
30,30,MYBL2,73.68658945720017
31,31,SLC22A15,72.65886752641376
32,32,ZNF404,76.83666449843359
33,33,BHLHE41,83.35901472744962
34,34,TNFSF11,86.76694711892424
35,35,GNB4,84.1884798427495
36,36,SYNE1,81.9612760247447
37,37,MARCKS,87.19285697411652
38,38,NEBL,86.54742139016876
39,39,QPRT,85.88274552536136
40,40,IGLC7.....IGLV1.44,84.07385412521091
41,41,RCN3,86.43225221331826
42,42,GJA1,82.5710982668304
43,43,PYCARD,83.83125601278756
44,44,EPS8L3,80.35484877412352
45,45,LNX1,90.35201500190698
46,46,ANKRD55,90.67680599171464
47,47,LAPTM5,83.63166785938301
48,48,SIGLEC9,85.01758826941041
49,49,CEACAM6,86.1212950911195
50,50,RARB,88.22528494917145
51,51,PKP1,89.79626659090732
52,52,SIX2,90.91327297046146
53,53,RHBG,89.82186713480966
54,54,DEFB106A.....DEFB106B,89.50966696841739
55,55,PTHLH,87.95337789349757
56,56,LGI2,88.74205007142122
57,57,FLI1,83.11843030760863
58,58,PMP2,80.41270818014496
59,59,BCL2A1,81.65140557652822
60,60,AADAT,84.0032324502618
61,61,ZNF876P,82.4868196759312
62,62,MCAM,86.19547401730541
63,63,GJB1,87.13572636188714
64,64,KLRF1,85.71356017188977
65,65,LOC100505498,86.38884579295248
66,66,LOC100128439,87.47881551373442
67,67,ISG20,97.74926857614409
68,68,RPPH1,102.5137294617204
69,69,NR4A3,104.81468425354345
70,70,PDE7A,105.29521094640765
71,71,FAM83H,106.78429853283065
72,72,KLRC1.....KLRC2,99.15257544100815
73,73,EPHB3,103.31809289472952
74,74,RGPD5.....RGPD6,104.1072914173552
75,75,RBM14,104.315597115589
76,76,TNFRSF25,104.5133146918948
77,77,TCN1,108.07133439365728
78,78,KIAA1644,112.35782626526374
79,79,EGF,107.78203157055108
80,80,DBN1,101.32835070509068
81,81,MYL3,100.70714742887218
82,82,BMP5,96.7619155868179
83,83,LOC202181,97.3647966689885
84,84,CXCL3,97.80550927015543
85,85,SIGLEC10,97.58556007917112
86,86,VSTM1,99.76010178248156
87,87,FGFR3,104.99753551391754
88,88,TWSG1,108.05087129597231
89,89,TTTY15,113.8537396294709
90,90,TRAM2,115.20941802078924
91,91,CXorf21,116.49439549204018
92,92,LOC100128868,116.04753781518691
93,93,TCTEX1D1,109.87753994112235
94,94,CNKSR3,114.66717975823116
95,95,TGFB1I1,114.64517591956752
96,96,LIF,118.74074453635521
97,97,MNDA,120.30294349095807
98,98,GOLGA8A.....GOLGA8B,121.28117429070876
99,99,HIST1H2AD.....HIST1H3D,117.9735366336453
100,100,CYP4X1,116.86002606997147
101,101,SERPINC1,116.64287580377291
102,102,C15orf48,119.2426122038623
103,103,ANG,118.2385642562302
104,104,TMEM220,116.55144470950762
105,105,AGAP1,119.10668645337373
106,106,BCAT1,114.43394277523483
107,107,FMNL2,110.90501341562853
108,108,KRT14,114.30523479472076
109,109,B3GNT5,114.1037417165237
110,110,TRD.,112.80433340484389
111,111,SELL,114.10282775279654
112,112,TDRD6,113.36987716372514
113,113,GPAT2,111.40461350989625
114,114,KDELR3,109.17919897543248
115,115,RCAN2,110.00924266171207
116,116,LIMS3.....LIMS3.LOC440895.....LOC440895,110.13585943863876
117,117,EPS8,110.08305981280272
118,118,RRBP1,115.35798374926568
119,119,CPNE8,113.26283997787294
120,120,CHD7,113.27446202850278
121,121,CD163L1,109.06223570967609
122,122,GUCY1A3,112.75720260297525
123,123,ZNF540,109.26151782398908
124,124,TGOLN2,108.12263945137134
125,125,LIN7A,108.0036568437303
126,126,BASP1,114.50737642688327
127,127,COL9A3,115.66280638533703
128,128,REPS1,113.99906840763316
129,129,IL24,109.78074834968469
130,130,PRKX,110.94684497941955
131,131,LOC338620,107.99824885873221
132,132,SPINK6,112.42177091637383
133,133,ASF1B,113.54715206752574
134,134,C5,113.49759378952515
135,135,ATAD3A.....ATAD3B,113.65997474630439
136,136,SHROOM2,115.45517058303155
137,137,IL1RAP,114.60527182503311
138,138,PION,113.48788675874435
139,139,JAM2,112.80105333485079
140,140,OBSL1,113.17162281920979
141,141,MEIS3P1,111.28024357092679
142,142,ATP9A,113.50193405093148
143,143,BIN2,113.29933429098293
144,144,LRRC25,116.20214753396759
145,145,SLC35F2,109.91292941231713
146,146,CENPQ,105.53644411980089
147,147,EID3,107.58907115437117
148,148,TNNI3,108.35692577636526
149,149,DDC,101.99215260282337
150,150,TMEM72,101.4591319438901
151,151,LOC645431,100.5628234014877
152,152,CYP27C1,113.74092228325176
153,153,LIPG,112.27946041208077
154,154,ELF3,110.82900960022762
155,155,SUCNR1,107.3441165965975
156,156,LOC100506935,105.7230176151995
157,157,SBK1,111.02098812392303
158,158,DBNDD2.....SYS1.....SYS1.DBNDD2,114.2931502656792
159,159,ZG16B,118.00997129178538
160,160,PTBP2,118.59311998521639
161,161,IL1R2,114.23720127103458
162,162,CBX4,114.84439385207017
163,163,RASGEF1A,108.80457454063082
164,164,NAP1L2,108.505932997061
165,165,ALPK2,111.71800649693742
166,166,RAB40B,119.1475175602015
167,167,PRL,120.14793592295118
168,168,BEX1,128.58091759431443
169,169,DTL,127.92356422677551
170,170,SPRR2B,128.8344058632158
171,171,MLLT3,128.2894299357484
172,172,LOC440993,123.66377866723978
173,173,CFI,123.0491046099795
174,174,LAMA5,121.81006191635905
175,175,UNC5D,122.5808609314322
176,176,CSF3,124.57706082875868
177,177,PLSCR4,123.90015402883616
178,178,PTGER2,122.19485558223498
179,179,ST8SIA1,128.6147842748629
180,180,ARRDC3,130.14325607317883
181,181,DAPK3,126.71010113847329
182,182,ACPP,132.35428879827447
183,183,GABBR2,128.16510763348168
184,184,COLEC12,129.85012999644258
185,185,SV2A,129.08973316133108
186,186,EVI2A,129.25811925421547
187,187,LOC150759,128.8235185631156
188,188,GSTO2,125.42535648564844
189,189,PEAR1,125.91298378912239
190,190,SLC22A16,126.37623288353835
191,191,PRKCD,125.68301218489253
192,192,TMEM54,124.21304050055542
193,193,SCG2,123.68953107033947
194,194,CDH2,123.11205732597554
195,195,EBF1,126.77945292929753
196,196,SPRR3,125.32880287503426
197,197,MAB21L1,123.37551005334004
198,198,IL17RC,126.86435611614327
199,199,PCDH18,124.90831735007225
200,200,ITGA8,120.51719973771017
201,201,OSCAR,121.94610877265838
202,202,ANKRD22,123.83423855038896
203,203,COL6A3,140.5468079915001
204,204,CXCL6,134.21355756639576
205,205,LRCH2,133.5133037278823
206,206,HIST1H2AE,129.15246799600874
207,207,EPHB1,132.9852893255988
208,208,TMEM56,133.04292640417668
209,209,DUSP2,132.5211487747384
210,210,IL2RG,133.80686582841864
211,211,GPR171,129.86365031073132
212,212,VWA5A,122.85112231858318
213,213,DENND1C,123.72107254285613
214,214,MYLK2,122.72525915365993
215,215,FGF19,124.08199619169326
216,216,CDT1,120.5445973511395
217,217,MFAP5,123.0936444866651
218,218,YAP1,122.31729845023558
219,219,TLR4,122.76251946812717
220,220,STX3,121.66410713447219
221,221,PLVAP,124.6773572454938
222,222,WNT5B,126.78871995532181
223,223,FERMT2,124.82929850909576
224,224,KLHL8,125.67340156003048
225,225,RHOBTB1,122.96148622176908
226,226,VNN2,123.92813139629482
227,227,PLAC9,121.09901854141073
