,result,prediction,prob0,prob1
GSM253210,0,0,6.720621109008789,-8.96822452545166
GSM253216,0,0,4.906617164611816,-6.63573694229126
GSM256745,0,0,9.718594551086426,-12.990189552307129
GSM256746,0,0,9.303763389587402,-12.519351959228516
GSM256748,0,0,9.582497596740723,-12.731582641601562
GSM256750,0,0,10.916826248168945,-14.54394817352295
GSM257187,0,0,5.206521987915039,-8.116719245910645
GSM257190,0,0,6.585507869720459,-9.843499183654785
GSM257248,1,1,-9.166679382324219,8.547948837280273
GSM257249,1,1,-8.835283279418945,8.285122871398926
GSM257526,0,0,3.912158727645874,-5.152973175048828
GSM257527,0,0,4.093017101287842,-5.368219375610352
GSM257528,0,0,4.896779537200928,-6.371274948120117
GSM257660,0,0,0.5366554260253906,-1.2239831686019897
GSM257661,0,0,1.4457745552062988,-2.380803108215332
GSM257471,1,1,-4.0484747886657715,3.944230556488037
GSM257472,1,1,-3.1593425273895264,3.180908203125
GSM259831,1,1,-5.703121185302734,5.767019271850586
GSM259832,1,1,-5.947136878967285,6.043670654296875
GSM259835,1,1,-7.467979907989502,7.150623798370361
GSM259836,1,1,-6.8501505851745605,6.606726169586182
GSM260250,1,1,-4.593753814697266,4.609841346740723
GSM260251,1,1,-4.82228422164917,4.826902866363525
GSM260252,1,1,-4.674726486206055,4.643179893493652
GSM260253,1,1,-4.9326171875,4.907741069793701
GSM260254,1,1,-4.89316463470459,4.861560344696045
GSM260255,1,1,-5.378490924835205,5.281177520751953
GSM260256,1,1,-5.4559760093688965,5.358059406280518
GSM260533,1,1,-18.42802619934082,6.833747863769531
GSM260535,1,1,-41.003150939941406,48.669151306152344
GSM260536,1,1,-23.723037719726562,29.80270767211914
GSM263933,0,0,5.034842491149902,-7.916892051696777
GSM263936,0,0,3.8542397022247314,-6.1514692306518555
GSM265495,0,0,3.3146491050720215,-4.693116188049316
GSM265497,0,0,3.3854920864105225,-4.704298973083496
GSM265498,0,0,2.4571926593780518,-3.6346001625061035
GSM265499,0,0,2.792924404144287,-3.9993605613708496
GSM264755,0,0,8.968475341796875,-12.74948787689209
GSM264756,0,0,9.941535949707031,-14.121641159057617
GSM264757,0,0,8.955924034118652,-12.827229499816895
GSM264758,0,0,9.00518798828125,-12.934075355529785
GSM265054,0,0,5.323454856872559,-7.011356353759766
GSM265056,0,0,4.95863151550293,-6.572841644287109
GSM265057,0,0,5.6009626388549805,-7.406619071960449
GSM265058,0,0,5.407222747802734,-7.179657936096191
GSM265059,0,0,5.790311336517334,-7.666214942932129
GSM265505,0,0,4.440601348876953,-6.664787292480469
GSM265507,0,0,5.366239070892334,-7.919743537902832
GSM265509,0,0,3.84641432762146,-5.919900417327881
GSM265510,0,0,4.801553249359131,-7.183408737182617
GSM265817,1,1,-10.23478889465332,9.101768493652344
GSM265820,1,1,-9.109590530395508,8.223576545715332
GSM266839,0,0,4.066956996917725,-5.6147356033325195
GSM266845,0,0,2.8413264751434326,-3.983541965484619
GSM266847,0,0,3.01899790763855,-4.251257419586182
GSM266849,0,0,4.816840171813965,-6.591257095336914
GSM266853,0,0,5.466092109680176,-7.396613121032715
GSM297601,0,0,4.147529125213623,-5.740490436553955
GSM297603,0,0,4.644430637359619,-6.622066020965576
GSM297604,0,0,5.162052154541016,-7.293889999389648
GSM266912,1,1,-8.092204093933105,8.005141258239746
GSM266914,1,1,-8.583967208862305,8.367205619812012
GSM266916,1,1,-7.95780611038208,7.871969223022461
GSM266918,1,1,-8.165772438049316,8.05335521697998
GSM266920,1,1,-8.251761436462402,8.096455574035645
GSM266921,1,1,-7.573417663574219,7.576986789703369
GSM266922,1,1,-8.239899635314941,8.105169296264648
GSM266923,1,1,-7.907580852508545,7.837313652038574
GSM267005,1,1,-8.48797607421875,7.6299543380737305
GSM267007,1,1,-7.933337688446045,6.975283145904541
GSM267008,1,1,-8.442422866821289,7.611813068389893
GSM267009,1,1,-8.148397445678711,7.225050926208496
GSM267010,1,1,-8.173498153686523,7.320402145385742
GSM267012,1,1,-8.049949645996094,7.181214332580566
GSM267013,1,1,-7.9202728271484375,7.077124118804932
GSM267077,0,0,4.915605545043945,-6.646976947784424
