,gene_names,weighted_max,weighted_sum
0,XIST,0.086499989,-5.948143959
1,HLA-DRB4 /// LOC100509582,0.064795226,4.018604755
2,CMPK2,0.046750546,-9.659086227
3,MMP1,0.058838166,3.802653074
4,RPS4Y1,0.073548555,-15.49959469
5,IGHA1 /// IGHA2 /// LOC100126583,0.047186904,6.336625099
6,IL8,0.048296794,-15.18335629
7,EGFR,0.055629022,-3.184798717
8,CHI3L1,0.054396108,-5.234006882
9,CCL20,0.047149267,6.732684135
10,KRT19,0.065352067,6.567334175
11,LYZ,0.061482381,12.51315689
12,LUM,0.056300238,-7.668505669
13,HLA-DQA1,0.092267521,5.376344681
14,C9orf117,0.053055532,0.370880574
15,CARD16,0.044312987,-14.12828445
16,MGC34034,0.048492905,2.949194431
17,GJA1,0.062036697,-11.11207008
18,IFIT1,0.055747271,-13.59407616
19,HLA-DRA,0.046851438,-9.818526268
20,S100A8,0.06162449,-11.99650669
21,COL1A1,0.051555723,-14.08334637
22,SPARC,0.082266971,-14.47846985
23,LRRC25,0.061465655,5.165065289
24,EIF1AY,0.075285114,-9.58243084
25,COL3A1,0.058933172,-9.935629845
26,SEPP1,0.043439306,-15.33894444
27,CTGF,0.062220454,-11.62708092
28,HLA-DPA1,0.049116399,-9.54419899
29,CCL5,0.055618308,4.565471649
30,MGP,0.076370589,-12.91410446
31,HLA-DQA1 /// HLA-DQA2,0.050719079,8.442962646
32,MAL2,0.074865691,3.349516869
33,EPCAM,0.04339543,-11.1692524
34,PTX3,0.060082007,-8.01700592
35,COL6A3,0.055465057,-13.44016838
36,HLA-DQB1,0.070659541,9.609313011
37,ANK3,0.061938986,-12.19393158
38,SERPINA1,0.048717037,1.496551633
39,IGJ,0.045760438,15.82289982
40,EFEMP1,0.045963384,-15.93194389
41,PLAC8,0.051913582,-12.12272358
42,COL1A2,0.043528724,-12.58021927
43,TSPAN8,0.057154045,9.629295349
44,CXCL1,0.048382342,-9.985760689
45,DSP,0.050792217,-11.59145546
46,ALDH1A1,0.049520429,-12.34046173
47,AGR2,0.045563646,6.569016457
48,CYTL1,0.054544482,9.053798676
49,CD24,0.03919958,-15.08141804
50,CCL2,0.064372413,-5.629426003
51,NNMT,0.056498609,-8.119669914
52,TGFBI,0.053793918,-13.89247894
53,S100A9,0.06626121,-9.67537117
54,UGT2B17,0.052212548,8.269633293
55,DKK1,0.05229884,-12.58635521
56,HBA1 /// HBA2,0.109186433,-14.1024065
57,IGFBP3,0.048389126,-16.60790253
58,CTHRC1,0.091224752,-8.449193954
59,S100P,0.051203787,-3.872928619
60,KRT18,0.054395095,-12.33847427
61,MAGEA6,0.078064688,6.693830013
62,CXCL13,0.055639368,12.32918549
63,CSTA,0.056106117,-11.69145203
64,IGHG1 /// IGHG2 /// IGHM /// IGHV4-31,0.059696671,1.570947886
65,C16orf54,0.065478273,9.833789825
66,GREM1,0.061459664,2.467335939
67,IGL@,0.052369423,-8.198159218
68,IGFBP7,0.044176981,-15.70125008
69,LOC647979,0.045145325,-16.1727066
70,C8orf4,0.045219131,7.921505451
71,CD52,0.060256734,-3.389536619
72,TIMP1,0.049129728,-14.28699684
73,TFPI2,0.076912388,-0.117545135
74,MAGEA3,0.057863306,3.733726263
75,SPARCL1,0.076725021,-1.967655063
76,CXCL14,0.066231936,7.546591759
77,CLCN7,0.037757657,-20.60068893
78,TM4SF1,0.067946009,-14.42849731
79,CYR61,0.046533786,-12.01918411
80,DCN,0.042601779,-11.22097397
81,C15orf48,0.070172399,7.499197483
82,HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4,0.044812381,-14.70310211
83,CDH2,0.053288769,-12.41253853
84,S100A6,0.064272314,-14.44067192
85,HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5,0.047878001,-13.75885487
86,IGFBP2,0.042830613,-15.57144451
87,PPBP,0.069439456,14.07736301
88,SLC40A1,0.045633994,-14.33368492
89,PLS3,0.049070049,-12.82192802
90,ID4,0.050596852,-8.644639969
91,MGST1,0.040155169,-13.65433788
92,CAV1,0.069967307,-8.062220573
93,HLA-DRB1,0.036591638,-12.8068428
94,LOC386597,0.051348027,-0.134292752
95,TYROBP,0.047410913,-3.021463394
96,IGLC7 /// IGLV1-44,0.043275509,-0.298223317
97,CA2,0.054552045,-15.14441681
98,FSTL1,0.04727339,-12.00819397
99,COL12A1,0.051437344,-10.71513748
100,GMFG,0.051294237,-3.085285187
101,AKR1B10,0.051855601,0.924055696
102,SERPINB2,0.057928547,9.521783829
103,IGLC7 /// IGLV1-44 /// LOC100290481,0.041609138,-11.87103653
