"","test","train","genes","five_fold"
"1",0.807893677003625,0.829919763513513,50,1
"2",0.828433346757954,0.843644425675676,100,1
"3",0.838501812323802,0.860853040540541,150,1
"4",0.825471698113208,0.826665281097371,50,2
"5",0.839622641509434,0.842149017977762,100,2
"6",0.854202401372213,0.856905330977865,150,2
"7",0.832489451476793,0.823995826812728,50,3
"8",0.846413502109705,0.83943661971831,100,3
"9",0.856118143459916,0.855607720396453,150,3
"10",0.821912013536379,0.824418725888854,50,4
"11",0.834602368866328,0.842664998436034,100,4
"12",0.853214890016921,0.86143259305599,150,4
"13",0.818370739817124,0.821761440988585,50,5
"14",0.831255195344971,0.841135197402869,100,5
"15",0.844970906068163,0.860508953817154,150,5
