samples,types
df34297d-30aa-484d-8d21-4c1223716469.FPKM.txt,Adrenal Gland
da33344b-b0d8-4504-bf2c-95aed9bf607a.FPKM.txt,Adrenal Gland
8e784384-e42b-4e04-9c11-d5dd391728f5.FPKM.txt,Adrenal Gland
bc171956-ada6-4488-882a-8e61e6466b02.FPKM-UQ.txt,Adrenal Gland
ae2fe0b0-d379-412f-9a8a-85195542d4c1.FPKM-UQ.txt,Adrenal Gland
dd9c6986-44e3-4fea-b819-01aba752a6a2.FPKM-UQ.txt,Adrenal Gland
1e0dd81a-566f-4806-b346-96da43a1456c.FPKM.txt,Adrenal Gland
42449353-9dca-4ec7-90b1-408c9d7a4224.FPKM.txt,Adrenal Gland
0a31e630-9db3-436f-b2a6-4a7276a4c1bf.FPKM.txt,Adrenal Gland
3c8bec5b-51a7-49c8-994f-2fcc069df868.FPKM-UQ.txt,Adrenal Gland
a7288950-b8b0-4e3e-8ff3-6a1ef519eddf.htseq.counts,Adrenal Gland
42d55aac-5211-4500-bec1-e0b02ceb2013.FPKM.txt,Adrenal Gland
6fbeb872-404d-4844-b289-cec24bce9e36.htseq.counts,Adrenal Gland
71ce8148-dbf1-4a0c-a9d8-72c01c2bf071.FPKM.txt,Adrenal Gland
42ceca43-2a1a-4f8a-baf7-c19adce95173.htseq.counts,Adrenal Gland
e6f0f18e-2e3b-430d-a51a-180daa250e0c.FPKM-UQ.txt,Adrenal Gland
be58e260-25a2-40fc-878f-cdf095908383.htseq.counts,Adrenal Gland
c97e243f-1a56-4a5c-89e2-81638c7b4d29.FPKM-UQ.txt,Adrenal Gland
4b166b22-9296-4a85-91ee-7887393e4b08.FPKM-UQ.txt,Adrenal Gland
d04ad770-8f57-4e6f-8b7f-05e47b37294a.htseq.counts,Adrenal Gland
de6f1492-d90f-4db3-af3c-ba1b05a2acea.htseq.counts,Adrenal Gland
823fe3f1-1e0f-4d35-8060-e54ba636992e.FPKM.txt,Adrenal Gland
a7288950-b8b0-4e3e-8ff3-6a1ef519eddf.FPKM-UQ.txt,Adrenal Gland
5a88fb2f-d26e-423a-a502-bc332094945b.FPKM.txt,Adrenal Gland
42d55aac-5211-4500-bec1-e0b02ceb2013.htseq.counts,Adrenal Gland
807147a0-dadd-4df3-bb2f-ac7515346efb.htseq.counts,Adrenal Gland
2590079e-a224-4af4-8f3f-29fb8972278c.FPKM.txt,Adrenal Gland
48d25b60-7991-46ba-b0b8-7c61c1258eb8.FPKM.txt,Adrenal Gland
807147a0-dadd-4df3-bb2f-ac7515346efb.FPKM.txt,Adrenal Gland
be58e260-25a2-40fc-878f-cdf095908383.FPKM.txt,Adrenal Gland
497b71cc-eb6a-4a4d-9dfb-22cf8404fe42.htseq.counts,Adrenal Gland
daa4c6ba-670d-4416-8bd0-73fd37ea0bb6.FPKM.txt,Adrenal Gland
42ceca43-2a1a-4f8a-baf7-c19adce95173.FPKM-UQ.txt,Adrenal Gland
7f0cf4dc-7b14-4852-bb70-110067ebc2a3.FPKM-UQ.txt,Adrenal Gland
4b166b22-9296-4a85-91ee-7887393e4b08.htseq.counts,Adrenal Gland
6c164107-d5bb-4308-8974-099929156ffb.htseq.counts,Adrenal Gland
0ca40fc8-e6f8-452d-b18d-9a25ee3a5616.htseq.counts,Adrenal Gland
542dc6e1-0c30-4a5d-a899-74499e59d4b3.FPKM.txt,Adrenal Gland
e85942cf-02d4-45f4-b06b-d01e53711241.FPKM-UQ.txt,Adrenal Gland
a2b0ce71-f202-4dca-9882-5ca0f5b97f34.FPKM-UQ.txt,Adrenal Gland
643b7f6a-3bc1-46bd-8ca7-c127e04c0563.htseq.counts,Adrenal Gland
437ad095-c2bd-475f-ba1d-a5ffdd17ab7f.FPKM.txt,Adrenal Gland
686fb7ee-bdd2-4c41-ab25-c0d8b0ccc049.htseq.counts,Adrenal Gland
bb954fd8-e39f-425c-bac8-ac082e857ca1.FPKM-UQ.txt,Adrenal Gland
1941accb-0b8b-4f54-902a-54175271fafa.FPKM-UQ.txt,Adrenal Gland
42ceca43-2a1a-4f8a-baf7-c19adce95173.FPKM.txt,Adrenal Gland
734117be-80cd-460d-95d9-3477b2998e6d.FPKM-UQ.txt,Adrenal Gland
a31ae0ac-683a-4e75-9af7-03bae233d6f2.htseq.counts,Adrenal Gland
ba49bfa6-fca7-4ef0-a05d-c23cb651f642.FPKM.txt,Adrenal Gland
6c416e81-459b-4fa4-8f16-7f0c8b8442e1.htseq.counts,Adrenal Gland
010caf19-9f62-4488-a2b5-eacdb795d66e.FPKM.txt,Adrenal Gland
38ad12d8-60a4-4a71-aa3c-131ad6ae7f61.FPKM.txt,Adrenal Gland
45bda7e1-c30e-4848-b155-6b071f36d9c8.FPKM.txt,Adrenal Gland
626a41f3-d2d3-41d6-ab86-1643df2fa24f.htseq.counts,Adrenal Gland
a2b0ce71-f202-4dca-9882-5ca0f5b97f34.htseq.counts,Adrenal Gland
