,result,prediction,prob0,prob1
GSM253210,0,0,7.8324503898620605,-11.121479034423828
GSM253216,0,0,5.638133525848389,-8.599567413330078
GSM256745,0,0,9.642814636230469,-15.427000045776367
GSM256746,0,0,9.63414478302002,-15.392721176147461
GSM256747,0,0,10.743830680847168,-16.68644905090332
GSM256749,0,0,10.494611740112305,-16.540252685546875
GSM257190,0,0,12.775623321533203,-20.071542739868164
GSM257248,1,1,-6.647345066070557,4.662646293640137
GSM257525,0,0,2.486278533935547,-5.459612846374512
GSM257528,0,0,4.418297290802002,-7.5034708976745605
GSM257661,0,0,5.191259860992432,-8.966423034667969
GSM257472,1,1,-7.295262336730957,5.611896514892578
GSM259831,1,1,-6.7592997550964355,5.004480361938477
GSM259832,1,1,-6.838347911834717,5.068444728851318
GSM259833,1,1,-6.086548805236816,4.196024417877197
GSM259834,1,1,-7.634334564208984,5.924350261688232
GSM259835,1,1,-7.007714748382568,5.2125139236450195
GSM259836,1,1,-8.221762657165527,6.508243083953857
GSM260250,1,1,-7.473849296569824,5.446793079376221
GSM260251,1,1,-7.421886920928955,5.391028881072998
GSM260252,1,1,-7.337779521942139,5.319076061248779
GSM260253,1,1,-7.506979942321777,5.516706466674805
GSM260254,1,1,-7.413315296173096,5.406435012817383
GSM260255,1,1,-7.6392974853515625,5.697869777679443
GSM260256,1,1,-7.648495197296143,5.706692218780518
GSM260257,1,1,-7.628820896148682,5.636397838592529
GSM260249,1,1,-7.456071376800537,5.45145845413208
GSM260534,1,1,-9.308982849121094,5.728782653808594
GSM260535,1,1,-11.324190139770508,9.277570724487305
GSM260536,1,1,-7.594203472137451,5.4360032081604
GSM263933,0,0,15.922063827514648,-24.619091033935547
GSM263934,0,0,11.456960678100586,-18.318716049194336
GSM263935,0,0,8.871732711791992,-14.367324829101562
GSM263936,0,0,9.656331062316895,-15.5673828125
GSM265494,0,0,7.168138027191162,-10.437368392944336
GSM265495,0,0,9.168811798095703,-12.766538619995117
GSM265496,0,0,9.876771926879883,-13.707393646240234
GSM265497,0,0,7.625739574432373,-10.961175918579102
GSM265498,0,0,5.483424663543701,-8.622079849243164
GSM265499,0,0,7.173656940460205,-10.525386810302734
GSM264755,0,0,25.61556625366211,-36.04243850708008
GSM264756,0,0,28.34245491027832,-39.57215118408203
GSM264758,0,0,27.1322021484375,-38.044830322265625
GSM265052,0,0,10.23830795288086,-14.945247650146484
GSM265053,0,0,10.162117958068848,-14.788284301757812
GSM265054,0,0,10.275457382202148,-14.93716049194336
GSM265055,0,0,11.590852737426758,-16.641809463500977
GSM265056,0,0,9.549808502197266,-14.07855224609375
GSM265057,0,0,9.867618560791016,-14.499242782592773
GSM265059,0,0,11.528761863708496,-16.34959602355957
GSM265505,0,0,4.717799663543701,-8.883782386779785
GSM265507,0,0,6.513087272644043,-11.162576675415039
GSM265509,0,0,3.8114686012268066,-7.718317031860352
GSM265818,1,1,-8.03693675994873,6.350234031677246
GSM265819,1,1,-8.34908676147461,6.704523086547852
GSM265820,1,1,-7.740370273590088,6.0499186515808105
GSM266839,0,0,5.604751110076904,-8.870515823364258
GSM266841,0,0,5.860083103179932,-9.070571899414062
GSM266843,0,0,7.997496128082275,-11.881669998168945
GSM266845,0,0,6.16669225692749,-9.29245376586914
GSM266847,0,0,4.868742942810059,-7.920536994934082
GSM266852,0,0,5.352677822113037,-8.455009460449219
GSM266853,0,0,6.782943248748779,-10.300312042236328
GSM297599,0,0,4.71539831161499,-7.802246570587158
GSM297601,0,0,3.942322254180908,-6.924394130706787
GSM297603,0,0,4.979891300201416,-7.571706295013428
GSM266912,1,1,-7.511447906494141,6.033361434936523
GSM266913,1,1,-7.366334915161133,5.886803150177002
GSM266914,1,1,-7.232977390289307,5.826520919799805
GSM266915,1,1,-7.444213390350342,5.945809841156006
GSM266917,1,1,-7.400084495544434,5.988888263702393
GSM266918,1,1,-6.748868465423584,5.2363362312316895
GSM266919,1,1,-6.51797342300415,4.978139400482178
GSM266920,1,1,-8.080223083496094,6.657811164855957
GSM266921,1,1,-7.610939025878906,6.2230753898620605
GSM266922,1,1,-6.952141284942627,5.51080322265625
GSM267005,1,1,-8.521987915039062,6.355423450469971
GSM267006,1,1,-8.453109741210938,6.3041791915893555
GSM267007,1,1,-8.40512752532959,6.2651777267456055
GSM267008,1,1,-8.893515586853027,6.706516742706299
GSM267009,1,1,-8.511816024780273,6.3343048095703125
GSM267011,1,1,-9.03637981414795,6.853269100189209
GSM267012,1,1,-8.89217472076416,6.756011486053467
GSM267013,1,1,-8.65460205078125,6.517186641693115
GSM267077,0,0,11.505083084106445,-15.091894149780273
GSM267079,0,0,9.938892364501953,-13.46247673034668
GSM267080,0,0,8.644871711730957,-11.986734390258789
GSM267081,0,0,8.422309875488281,-11.722637176513672
GSM267082,0,0,8.543561935424805,-11.860773086547852
GSM267083,0,0,8.259509086608887,-11.54751968383789
GSM267084,0,0,7.8877081871032715,-11.120038986206055
GSM269527,1,1,-6.582332611083984,4.486400127410889
GSM269528,1,1,-4.869168758392334,2.939617156982422
GSM269531,1,1,-6.227730751037598,4.551843166351318
GSM269532,1,1,-11.83758544921875,10.160758972167969
