,result,prediction,prob0,prob1
GSM253210,0,0,1.5575592517852783,-2.5414230823516846
GSM253216,0,0,1.401807188987732,-2.256775379180908
GSM256745,0,0,-0.4963120222091675,-0.7404241561889648
GSM256746,0,1,-0.7307507991790771,-0.5886088609695435
GSM256748,0,1,-0.7773711681365967,-0.5600101947784424
GSM256750,0,1,-0.9156895875930786,-0.4506155848503113
GSM257187,0,0,0.5318158864974976,-1.2026903629302979
GSM257190,0,0,0.8425396084785461,-1.5160551071166992
GSM257248,1,1,-5.120645046234131,2.8669588565826416
GSM257249,1,1,-4.845500946044922,2.6803386211395264
GSM257526,0,0,1.8525489568710327,-2.677640914916992
GSM257527,0,0,1.8447915315628052,-2.6946582794189453
GSM257528,0,0,1.959183931350708,-2.9002602100372314
GSM257660,0,1,-1.2466249465942383,0.6454774737358093
GSM257661,0,1,-1.269550085067749,0.6595389246940613
GSM257471,1,1,-1.2738710641860962,0.5826770663261414
GSM257472,1,1,-1.463758111000061,0.7783798575401306
GSM259831,1,1,-1.0582189559936523,0.5557296872138977
GSM259832,1,1,-1.6320008039474487,0.9622676968574524
GSM259835,1,1,-1.583567500114441,0.8790861964225769
GSM259836,1,1,-1.4913865327835083,0.7080984711647034
GSM260250,1,1,-7.693883895874023,3.1102294921875
GSM260251,1,1,-7.957708358764648,3.2445740699768066
GSM260252,1,1,-7.632053375244141,3.0838687419891357
GSM260253,1,1,-7.792346954345703,3.176912546157837
GSM260254,1,1,-7.772063255310059,3.1640424728393555
GSM260255,1,1,-7.7926130294799805,3.2227470874786377
GSM260256,1,1,-7.742555618286133,3.196143388748169
GSM260533,1,1,-2.753845691680908,-1.4107518196105957
GSM260535,1,1,-4.266051769256592,2.9359326362609863
GSM260536,1,1,-5.793599605560303,3.167243242263794
GSM263933,0,0,1.9180020093917847,-2.2797913551330566
GSM263936,0,0,1.2626755237579346,-1.8932433128356934
GSM265495,0,0,1.8244117498397827,-3.179142713546753
GSM265497,0,0,1.7830281257629395,-3.1392667293548584
GSM265498,0,0,1.6692079305648804,-2.858820676803589
GSM265499,0,0,1.7353991270065308,-3.0162246227264404
GSM264755,0,0,1.8486157655715942,-2.506527900695801
GSM264756,0,0,1.9704272747039795,-2.628103733062744
GSM264757,0,0,1.963891625404358,-2.5797884464263916
GSM264758,0,0,1.9201569557189941,-2.5472524166107178
GSM265054,0,0,1.8733502626419067,-3.244987964630127
GSM265056,0,0,1.8664202690124512,-3.2453720569610596
GSM265057,0,0,1.880078911781311,-3.262922763824463
GSM265058,0,0,1.94069504737854,-3.365839719772339
GSM265059,0,0,1.9415371417999268,-3.3712568283081055
GSM265505,0,1,-0.8334171772003174,0.23723775148391724
GSM265507,0,0,-0.25214821100234985,-0.27313774824142456
GSM265509,0,1,-0.49891912937164307,0.005903303623199463
GSM265510,0,0,-0.24366068840026855,-0.25624769926071167
GSM265817,1,1,-2.8373165130615234,1.711205244064331
GSM265820,1,1,-2.3452672958374023,1.4112162590026855
GSM266839,0,0,1.5815155506134033,-2.7267825603485107
