learning times,layer,node,learning rate,gene number
1000,3,1000 500 50,0.005,30
1000,3,1000 1000 1000,0.005,30
1000,3,1000 500 500,0.005,30
1000,3,1000 1000 500,0.005,30
1000,3,500 250 50,0.005,30
1000,3,500 500 500,0.005,30
1000,3,500 1000 50,0.005,30
1000,3,500 1000 500,0.005,30
1000,3,500 250 500,0.005,30
1000,3,500 500 50,0.005,30
1000,3,1500 1000 500,0.005,30
1000,3,1500 1500 1500,0.005,30
1000,3,1500 1000 50,0.005,30
1000,4,2000 2000 500 50,0.005,30
1000,4,2000 1000 500 50,0.005,30
1000,4,2000 1000 1000 500,0.005,30
1000,4,2000 2000 1000 500,0.005,30
1000,4,2000 1000 500 500,0.005,30
1000,4,1000 1000 1000 1000,0.005,30
1000,4,1000 2000 1000 500,0.005,30
1000,4,1000 2000 500 50,0.005,30
1000,4,1500 2000 500 50,0.005,30
1000,4,1500 1500 500 50,0.005,30
1000,4,1500 1000 500 50,0.005,30
1000,4,1500 500 500 50,0.005,30
1000,4,1500 2000 1500 1500,0.005,30
1000,4,1500 2000 1500 50,0.005,30
1000,4,500 1000 500 50,0.005,30
1000,4,500 2000 1500 50,0.005,30
1000,4,500 1000 2000 500,0.005,30

